  0:   66| [45] [――悠里の死を知った後――]
  1:   71| [45] [ましろは丸１日泣き続けた。]
  2:   76| [45] [悠里の葬儀が行われ、それが終わり、さらに一週間が経っても――]
  3:   81| [45] [彼女の事を思い出すたび、涙が滲んだ。]
  4:  160| [45] [病院行きのバスを待ちながら、ましろはすすり泣いていた。]
  5:  165| [47] [ましろ]
  6:  168| [45] [「う……ぅ……」]
  7:  219| [45] [どれだけ泣いても、親友を失った悲しみは癒えない。]
  8:  224| [45] [いつも穏やかに微笑んでいた悠里。]
  9:  229| [45] [誰からも女の子扱いされない自分を、『可愛い』と言ってくれた悠里。]
 10:  234| [45] [おままごとのようなましろの料理を、美味しいと褒めてくれた悠里。]
 11:  239| [45] [――本当に心優しく、誰よりも可愛らしい、ましろの憧れの女の子……。]
 12:  323| [45] [彼女との想い出が、脳裏に浮かんでは消える。]
 13:  328| [47] [ましろ]
 14:  329| [45] [（ねぇ、悠里……悠里とあったのは、ほんの１年くらいまえなんだよね）]
 15:  334| [47] [ましろ]
 16:  335| [45] [（はじめてあったときから、私は悠里にあこがれてたよ）]
 17:  340| [47] [ましろ]
 18:  341| [45] [（悠里といっしょにいれば、私もいつか、すてきな女の子になれるかとおもって……）]
 19:  346| [47] [ましろ]
 20:  347| [45] [（なのに……ほんの１年でおわかれになるなんて、おもわなかったね……！）]
 21:  355| [45] [その彼女がもう存在しないという事が、ましろにはまだ信じられなかった。]
 22:  360| [45] [だが悲しみに満たされたましろの心に、唯一残されたのは――]
 23:  365| [45] [夏彦を心配する気持ちだった。]
 24:  370| [47] [ましろ]
 25:  371| [45] [（……夏彦、だいじょうぶかな……）]
 26:  376| [45] [夏彦は、悠里の葬儀に出席していなかった。]
 27:  381| [45] [まだ退院できないらしい。学校にもずっと来ていない。]
 28:  386| [47] [ましろ]
 29:  387| [45] [（おみまいにいかなきゃ……！）]
 30:  398| [45] [ましろが涙を拭ったとき、バスがやってきた。]
 31:  465| [45] [――病院の前でバスを降りたましろは、受付を通り、夏彦の病室に向かった。]
 32:  533| [45] [病室では夏彦が、ベッドに横たわっていた。]
 33:  538| [45] [その傍らに、天川博士がいる。]
 34:  543| [47] [ましろ]
 35:  546| [45] [「はかせ……」]
 36:  572| [47] [美夜子]
 37:  575| [45] [「あ、ましろちゃん……」]
 38:  601| [47] [美夜子]
 39:  604| [45] [「お見舞いに来てくれたのね？　わざわざありがとう」]
 40:  609| [47] [ましろ]
 41:  612| [45] [「は、はい……」]
 42:  617| [47] [ましろ]
 43:  620| [45] [「あの、夏彦くんは……おやすみちゅうですか……？」]
 44:  643| [47] [美夜子]
 45:  644| [45] [「……」]
 46:  670| [47] [美夜子]
 47:  673| [45] [「夏彦はね……」]
 48:  678| [45] [博士はちらりと夏彦を見た。]
 49:  683| [45] [ましろは夏彦の顔を覗きこみ――そして息を呑んだ。]
 50:  883| [47] [ましろ]
 51:  886| [45] [「！！」]
 52:  891| [45] [夏彦は眠っていなかった。]
 53:  901| [45] [横たわったまま、目を開けていた。]
 54:  906| [45] [だがその目には光が無く、ただ虚空を見つめている。]
 55:  911| [47] [ましろ]
 56:  914| [45] [「……夏彦？」]
 57:  919| [45] [返事なし。]
 58:  924| [47] [ましろ]
 59:  927| [45] [「夏彦」]
 60:  932| [45] [返事なし。]
 61:  937| [47] [ましろ]
 62:  940| [45] [「ね、ねぇ！　どうしちゃったの夏彦！」]
 63:  945| [47] [ましろ]
 64:  948| [45] [「私のこえきこえないの！？　ねぇ！」]
 65:  953| [45] [戸惑いながら叫ぶましろに、天川博士が答える。]
 66:  958| [47] [美夜子]
 67:  961| [45] [「……聞こえてないわ」]
 68:  966| [47] [ましろ]
 69:  969| [45] [「え？」]
 70:  974| [47] [美夜子]
 71:  977| [45] [「悠里ちゃんの死を知ってから、ずっとこうなの……」]
 72:  982| [47] [美夜子]
 73:  985| [45] [「ましろちゃんだけじゃない。私の声も、医師の声も……誰の声も届かない」]
 74:  990| [47] [美夜子]
 75:  993| [45] [「事実を認められず……心を閉ざしてしまったんだわ……」]
 76:  998| [47] [ましろ]
 77: 1001| [45] [「……そんな」]
 78: 1046| [45] [ましろは呆然として、夏彦を見る。]
 79: 1051| [45] [彼の視線は、どこか遠いところに向けられていた……。]
 80: 1101| [45] [――ましろは信じられない思いのまま、病院を後にした。]
 81: 1167| [45] [家路を歩く間、頭の中を様々な思考と感情が渦巻く。]
 82: 1172| [45] [しかし、その中でただ１つはっきりしていた感情は――後悔だった。]
 83: 1177| [47] [ましろ]
 84: 1178| [45] [（……悠里は私のかわりにラボにいって、死んじゃったんだ……）]
 85: 1183| [47] [ましろ]
 86: 1184| [45] [（だから夏彦も、あんなふうに……）]
 87: 1189| [45] [取り返しのつかない思いが、胸に募る。]
 88: 1194| [45] [その後悔を晴らす方法は思いつかないが――]
 89: 1199| [47] [ましろ]
 90: 1200| [45] [（せめて、夏彦がもとにもどるまでは……！）]
 91: 1205| [45] [精一杯見守り続けよう。]
 92: 1210| [45] [悠里の代わりにでもいい。なんでも構わない。]
 93: 1215| [45] [ましろは１人、そう誓った。]
