  0:   65| [45] [――それはまだましろと夏彦が、仲良くなる前の話――]
  1:   70| [45] [ましろはその頃、男の子とまじって街を駆け回る、男勝りの子だった。]
  2:   75| [45] [今ましろがいるこの秘密基地も、街を駆け回っているうちに発見したものだ。]
  3:  118| [45] [ついたあだ名は『おとこおんな』。]
  4:  123| [45] [そして、つけたのは無論――]
  5:  153| [45] [あの憎たらしい夏彦である。]
  6:  158| [47] [ましろ]
  7:  159| [45] [（あいつにはこのひみつきち、つかわせてやんないんだから……！）]
  8:  234| [47] [ましろ]
  9:  237| [45] [「いい？　夏彦にはぜったい、ここのこと、おしえちゃだめだからね」]
 10:  242| [45] [ヒソヒソとした声に、周りの男子たちがコクコクと頷く。]
 11:  247| [45] [ましろは友達の男子３人をひきつれて、秘密基地に遊びに来ていたのだ。]
 12:  252| [45] [もちろん、夏彦には内緒で。]
 13:  257| [47] [男子Ａ]
 14:  260| [45] [「それはわかってっけどさ～……」]
 15:  265| [47] [男子Ｂ]
 16:  268| [45] [「おしえたとしても、きっとこないよ。さいきん夏彦、へんだもん」]
 17:  273| [47] [ましろ]
 18:  276| [45] [「へん？　どういうこと？」]
 19:  281| [47] [男子Ｃ]
 20:  284| [45] [「なんかさ～、さいきんおちこんだりソワソワしてて、いつもの夏彦ってかんじじゃねーよなー」]
 21:  289| [47] [男子Ｂ]
 22:  292| [45] [「しらないおんなといっしょにいたって、だれかがいってたよ？」]
 23:  297| [47] [男子Ａ]
 24:  300| [45] [「あぁ、おれもきいたことあるぜ。そのひと、しょーがくせーとかだって」]
 25:  305| [47] [ましろ]
 26:  308| [45] [「えっ！？」]
 27:  313| [45] [その言葉を聞いて、ましろは内心驚いた。]
 28:  318| [45] [夏彦が女の子と仲良くしてるなんて話を、初めて聞いたからだ。]
 29:  323| [45] [どんな子なのかちょっと気になったが――]
 30:  328| [47] [ましろ]
 31:  329| [45] [（でも、あいつのことなんてどうでもいいけどね！　ちょーどうでもいいけどね！）]
 32:  334| [45] [夏彦に関係することを考えるのもしゃくなので、無視した。]
 33:  339| [47] [男子Ｃ]
 34:  342| [45] [「きっとそのおんながこいびとになっちゃったんだよ」]
 35:  347| [47] [男子Ｃ]
 36:  350| [45] [「こいびとができるとソワソワするって、ねーちゃんいってた」]
 37:  355| [47] [男子Ａ]
 38:  358| [45] [「こいびとかー……夏彦はエロだな？」]
 39:  363| [47] [男子Ｂ]
 40:  366| [45] [「うん、エロだ。おんなとなかよくするおとこは、エロってそーばがきまってるんだ」]
 41:  371| [47] [ましろ]
 42:  374| [45] [「え、エロなんだ……！」]
 43:  379| [47] [ましろ]
 44:  382| [45] [「……あれ？　あんたたちは？」]
 45:  387| [47] [ましろ]
 46:  390| [45] [「私といっしょにいるけど……」]
 47:  395| [47] [男子Ａ]
 48:  398| [45] [「だってましろは、おんなじゃないもん」]
 49:  403| [47] [男子Ｂ]
 50:  406| [45] [「『おとこおんな』だもんな、ハハハッ」]
 51:  411| [47] [ましろ]
 52:  414| [45] [「ふ、ふ～ん……」]
 53:  419| [45] [気の無い返事を返しつつも、ましろは内心イライラしていた。]
 54:  424| [45] [理由はわからない。からかわれたというのもあるが、それだけじゃないような気もする。]
 55:  429| [47] [ましろ]
 56:  432| [45] [「ま、べつにいーけどね、あんなやつの事なんか」]
 57:  437| [47] [ましろ]
 58:  440| [45] [「フン！」]
 59:  445| [45] [鼻を鳴らして、ましろはプイっとそっぽを向いた。]
 60:  450| [45] [そんなことをしても、面白くない理由がわかるわけもなかったが。]
 61:  510| [45] [――その後、ましろは男子たちを置いて、公園に向かっていた。]
 62:  515| [45] [口では色々言っていたが、夏彦と、話に出ていた女の子のことが気になったのだ。]
 63:  520| [47] [ましろ]
 64:  523| [45] [「一緒にいたらからかってやろ！　ウシシシ！」]
 65:  528| [47] [ましろ]
 66:  531| [45] [「私のことを『おとこおんな』といったこと、くやむがいいー！」]
 67:  537| [45] [そんな決意を胸に秘め、いざ公園に着いた時――]
 68:  821| [45] [そこには夏彦の姿はなく、代わりに可愛らしい女の子が一人いた。]
 69:  826| [47] [ましろ]
 70:  827| [45] [（！？　もしかして、この子がウワサの……）]
 71:  832| [45] [ましろはこの子を見た事がない。]
 72:  837| [45] [男の子でも、女の子でも、近所の子は大体知り合いなのに――。]
 73:  842| [45] [ましろは女の子に声をかけることにした。]
 74:  867| [47] [ましろ]
 75:  870| [45] [「ね、夏彦まってるの？」]
 76:  896| [47] [悠里]
 77:  899| [45] [「え……？」]
 78:  904| [45] [女の子がゆっくりと振り向く。]
 79:  909| [45] [その仕草はどこか優雅で、ましろは思わず気圧された。]
 80:  935| [47] [悠里]
 81:  938| [45] [「うん。夏彦くん、待ってるの」]
 82:  943| [47] [ましろ]
 83:  946| [45] [「へ～、そうなんだ」]
 84:  951| [47] [ましろ]
 85:  952| [45] [（おとなしそうな子だ……かわいいし、おにんぎょーさんみたい……）]
 86:  957| [47] [ましろ]
 87:  960| [45] [「え～っと……おなまえは？」]
 88:  986| [47] [悠里]
 89:  989| [45] [「悠里。あなたは……？」]
 90:  994| [47] [ましろ]
 91:  997| [45] [「私？　私はましろ！　とばましろ！」]
 92: 1023| [47] [悠里]
 93: 1026| [45] [「あっ、あなたがましろちゃん？　夏彦くんからきいているよ」]
 94: 1031| [47] [ましろ]
 95: 1034| [45] [「えっ！？　なんて？」]
 96: 1060| [47] [悠里]
 97: 1063| [45] [「えっとね、だれとでもなかよくなるのがとくいだって」]
 98: 1089| [47] [悠里]
 99: 1092| [45] [「わたしとも、ともだちになってくれるって！」]
100: 1097| [47] [ましろ]
101: 1100| [45] [「え～！？　あ、あいつめ！　かってにそんなことを……」]
102: 1126| [47] [悠里]
103: 1129| [45] [「えっ……や、やっぱりともだちにはなってくれないのかな……」]
104: 1134| [47] [ましろ]
