  0:   80| [45] [――９月１３日、夜。]
  1:   85| [45] [バスの中で、テロリストの声を聞いてしまったましろは、夏彦にその話をしたが……]
  2:   90| [45] [彼はまともに取り合ってくれなかった。]
  3:  117| [45] [ましろはそれを哀しく思うと共に、激しい怒りを感じた。]
  4:  122| [47] [ましろ]
  5:  125| [45] [「……そっか。ホントに変わっちゃったんだね、夏彦……」]
  6:  130| [47] [ましろ]
  7:  133| [45] [「そんなに安全が好きなら、ずっと家にいれば！」]
  8:  156| [47] [ましろ]
  9:  159| [45] [「もう夏彦には頼らないよ！　じゃあね！」]
 10:  167| [47] [夏彦]
 11:  170| [45] [「お、おい、ちょっと待てよましろ！」]
 12:  240| [45] [――夏彦の制止の声も聞かず、ましろは天川家を飛び出す。]
 13:  245| [45] [そしてましろの孤独な捜査が、幕を開けた――]
 14:  312| [45] [――翌朝。]
 15:  317| [45] [小雨の降る中、ましろは学校をサボって、都市ゲートを目指していた。]
 16:  322| [45] [夏彦が信じてくれないなら、１人でテロリストの捜索をしようと思って。]
 17:  327| [45] [都市ゲート行きのバスを待ちながら、ましろは思う。]
 18:  332| [47] [ましろ]
 19:  333| [45] [（夏彦め……日頃さんざんお世話してあげてるのに、恩を返そうって気はないのか……）]
 20:  338| [47] [ましろ]
 21:  339| [45] [（普通こんな美少女が怯えてたら、即助けるもんでしょうが）]
 22:  344| [45] [昨夜抱いた怒りは、まだ冷めていない。]
 23:  349| [45] [夏彦への苛立ちが、普段押し込めている不満を噴出させていた。]
 24:  354| [47] [ましろ]
 25:  355| [45] [（だいたい夏彦は、私を軽くナメてる気がする……！）]
 26:  360| [47] [ましろ]
 27:  361| [45] [（自分で言うのもなんだけど、私ってばかなりパーフェクトな女なのに）]
 28:  366| [47] [ましろ]
 29:  367| [45] [（可愛いし、明るいし、優しくて料理も上手いし）]
 30:  372| [47] [ましろ]
 31:  373| [45] [（能力レベルも５相当で、日本でもトップクラス）]
 32:  378| [47] [ましろ]
 33:  379| [45] [（なのに夏彦は……！　幼馴染だからって、自分の立場にあぐらをかいてるんだ！）]
 34:  384| [45] [かくなる上は、テロリストを発見し、夏彦に非を認めさせるしかない。]
 35:  389| [47] [ましろ]
 36:  390| [45] [（でも私は、夏彦が土下座したって許してあげないんだ……ふふふ）]
 37:  395| [47] [ましろ]
 38:  396| [45] [（罰は何がいいかな……そうだ！　夏彦を執事にして、１日中こきつかってやろう）]
 39:  401| [47] [ましろ]
 40:  402| [45] [（紅茶の用意をさせて、椅子を引かせて、ひたすらチヤホヤしてもらうんだ）]
 41:  407| [47] [ましろ]
 42:  408| [45] [（……）]
 43:  413| [47] [ましろ]
 44:  414| [45] [（……執事服姿の夏彦か……いいなそれ、萌えるな……）]
 45:  419| [47] [ましろ]
 46:  422| [45] [「って違う！　趣旨から外れてる！」]
 47:  427| [45] [そこまで考えて、ましろはふと我に返った。]
 48:  432| [47] [ましろ]
 49:  433| [45] [（そうそう、今はテロリストの捜索をするんだよ）]
 50:  438| [47] [ましろ]
 51:  439| [45] [（バス待ちの時間も無駄にしないぞ。まずは情報収集っと……）]
 52:  450| [45] [ましろはＰＤＡを取り出し、それをネットに繋いだ。]
 53:  455| [45] [昨日のうちに、簡単な下調べは済ませておいた。]
 54:  460| [45] [今回、街で暗躍しているテロ組織が何者か――]
 55:  465| [45] [それは恐らく、国内最大の反ＢＣ団体『Ｑ』である可能性が高いようだ。]
 56:  470| [47] [ましろ]
 57:  473| [45] [「まぁネットの情報なんて、あんまアテにならないかもだけどね……」]
 58:  478| [45] [ましろはそう呟きつつ、Ｑに関する情報を集めているサイトを見る。]
 59:  483| [45] [そこにはいくつか気になる記事があった。]
 60:  571| [45] [『Ｑが起こした最初の事件』]
 61:  575| [85] [　]
 62:  578| [45] [――２０１８年９月１６日。]
 63:  582| [45] [北海道去別市に設立されたばかりのＢＣ研究所が、]
 64:  585| [45] [何者かによって爆破された。]
 65:  589| [85] [　]
 66:  592| [45] [そしてこの事件の数日前、去別市役所に脅迫状が送られてきていた。]
 67:  596| [85] [　]
 68:  599| [45] [『コミュニケーターに与する輩には、我らが制裁を加える』]
 69:  602| [45] [という文面。]
 70:  606| [85] [　]
 71:  609| [45] [その脅迫状の末尾には、『Ｑ』という署名が記されていたという……。]
 72:  616| [85] [　%N]
 73:  619| [45] [Ｑという組織名が、事件史にはっきりと出てきたのは、この時が最初である。]
 74:  626| [85] [　]
 75:  629| [45] [Ｑがいつできた組織なのかは、はっきりしていない。]
 76:  633| [45] [誰がなんの目的で作ったのか、構成員がどのように集められたのか、]
 77:  636| [45] [その多くは謎に包まれている。]
 78:  640| [45] [ただ一説には、２０１４年に鹿鳴市同時多発火災を起こした過激派団体が、Ｑの前身となったとも言われている。]
 79:  650| [85] [　]
 80:  653| [45] [その団体の名は、『反ＢＣ連盟』。]
 81:  657| [45] [当時から彼らは、コミュニケーターに激しい憎悪を燃やし――]
 82:  661| [45] [その果てに、コミュニケーターの住む街に火を放ったのだ。]
 83:  665| [85] [　%N]
 84:  668| [45] [反ＢＣ連盟のメンバーは、同時多発火災の犯人として逮捕されたが……。]
 85:  675| [85] [　]
 86:  678| [45] [メンバーの出所後、再結成された可能性がある。]
 87:  682| [45] [そしてその時に、組織名も『Ｑ』と改められたのではないか。]
 88:  686| [85] [　]
 89:  689| [45] [そう考えると、]
 90:  692| [45] [Ｑは２０１４年には、すでに結成されていたとも言える。]
 91:  696| [45] [それは奇しくも、『コミュニケーター大発現』の年と同じである。]
 92:  700| [85] [　%N]
 93:  703| [45] [ＢＣの歴史と共に現れ、社会に恐怖を振りまいてきた組織、Ｑ。]
 94:  707| [85] [　]
 95:  710| [45] [コミュニケーターのあなたも、そうでないあなたも、奴らには注意せねばならないだろう。]
 96:  717| [85] [　]
 97:  720| [45] [日本がテロとは無縁の平和な国だというのは、もはや過去の幻想に過ぎないのだから……。]
 98:  799| [45] [ましろはその文章を読み終え、呟く。]
 99:  804| [47] [ましろ]
100:  807| [45] [「その団体の名は、『反ＢＣ連盟』……」]
101:  812| [47] [ましろ]
102:  815| [45] [「反ＢＣ連盟のメンバーは、同時多発火災の犯人として逮捕された、か……」]
103:  820| [45] [だが彼らは出所後も、団体名を変えて、日本中で同じ事を繰り返しているらしい。]
104:  825| [45] [そして同時多発火災から１６年過ぎた今、この街に舞い戻り、再び事件を起こそうとしているのだ。]
105:  830| [47] [ましろ]
106:  831| [45] [（どうしてそんなに、コミュニケーターが憎いの……？）]
107:  836| [45] [昨日バスで会った男は、『この街の歴史を終わらせる』とまで言っていた。]
108:  841| [45] [その考えはまるで理解できないが――]
109:  846| [47] [ましろ]
110:  847| [45] [（……やっぱなんか、怖いかも……）]
111:  852| [45] [昨日も感じた怯えが、またぶり返してきた。]
112:  857| [47] [ましろ]
113:  858| [45] [（……私がこんなに怖がってんのに、夏彦は助けてくれないんだもんな）]
114:  863| [47] [ましろ]
115:  864| [45] [（ふんだ、夏彦のバカ。役立たず。冷血漢）]
116:  869| [45] [ましろは夏彦に怒る事で、怯えを無理に吹き飛ばす。]
117:  880| [45] [――ちょうどその時、バスがやってきた。]
118:  885| [47] [ましろ]
