  0:   61| [45] [――そして恵那の、コミュニケーター管理官としての日々が始まった。]
  1:   66| [45] [それからの２年間は、黒田や比嘉と共に、様々なＢＣ絡みの事件に取り組んできた。]
  2:   71| [45] [管理官の職務は１６年前とは大きく事なり、警察か公安に近いものとなっていたのだ。]
  3:   76| [45] [２０２９年には北海道で、コミュニケーターを拉致監禁し、違法な実験を行っていた研究者を摘発した。]
  4:   81| [45] [そのように犯罪被害に遭ったコミュニケーターは、政令指定機密都市への移住を勧めた。]
  5:   86| [45] [――だが、時にはコミュニケーターが、加害者側に回る事もあった。]
  6:   91| [45] [ＢＣ能力を使う犯罪者……例えばエンパシーを用いて、企業の機密情報を盗む産業スパイなど。]
  7:   96| [45] [そうしたコミュニケーターを探し、自ら逮捕した事もある。]
  8:  101| [45] [そんな日々の中で、黒田の言っていた言葉の意味を、恵那も痛感した。]
  9:  106| [45] [『保護と監視は表裏一体』……護るべきコミュニケーターは、同時に警戒すべき存在でもあるのだ。]
 10:  111| [45] [自分の身を護る為に、射撃や護身術の訓練も受けた。]
 11:  116| [45] [恵那の体は鍛えられ、そして同時に――心は冷たく研ぎ澄まされていった。]
 12:  145| [47] [恵那]
 13:  146| [45] [（『コミュニケーターは護るべき存在』という、一元的な考え方は危険だわ……）]
 14:  151| [47] [恵那]
 15:  152| [45] [（一般人にも善人と悪人がいるように、コミュニケーターにも悪がいる。Ｎ化しなくとも、危険なコミュニケーターはいる）]
 16:  157| [47] [恵那]
 17:  158| [45] [（警戒を怠ってはいけないのよ。彼らは私たちとは違う力を持っている、別種の存在なのだから……）]
 18:  163| [45] [それに考えてみれば、父の死の原因を作ったのも、やはりコミュニケーターだ。]
 19:  168| [45] [やがて恵那は自然と、コミュニケーターに対し、心を閉ざす習慣を身につけていた。]
 20:  173| [45] [――だが、そんなある日。]
 21:  178| [45] [恵那は新たな任務を、黒田から与えられた。]
 22:  244| [47] [恵那]
 23:  247| [45] [「……私が、教師に？」]
 24:  252| [47] [黒田]
 25:  255| [45] [「そうさ。まぁ正確には、ＢＣ特科学校に常駐し、コミュニケーターの保護・監視を行う管理官になれってことだな」]
 26:  260| [47] [黒田]
 27:  263| [45] [「それに忘れがちだが、我々はあくまで文部科学省の人間だ。教鞭をとってもおかしくないだろう？」]
 28:  268| [47] [恵那]
 29:  271| [45] [「し、しかし……そのような任務は想定してませんが……」]
 30:  276| [47] [黒田]
 31:  279| [45] [「いや、今のお前にこそ、こういう経験が必要なんだ。この２年ですっかり心が荒んじまったからな」]
 32:  284| [47] [恵那]
 33:  287| [45] [「……？」]
 34:  292| [47] [黒田]
 35:  295| [45] [「まぁ任務につけば、すぐにわかるさ。純粋な子供たちと接し、その心をちょっと洗ってもらえ」]
 36:  341| [45] [――かくして恵那は入局３年目にして、管理官としての転機を迎えた。]
 37:  409| [45] [配属先は、鹿鳴学園。]
 38:  414| [45] [恵那の故郷に設立された、ＢＣ特科学校だ。]
 39:  419| [47] [恵那]
 40:  420| [45] [（今日からここで私が、教師ゴッコを……？）]
 41:  425| [47] [恵那]
 42:  426| [45] [（これも仕事とは言え、面倒な事になったわ……）]
 43:  431| [45] [恵那はやれやれと首を振り、校舎に向けて歩き出す。]
 44:  436| [45] [いつものように心を閉ざし、周囲を欺く仮面をかぶって。]
 45:  540| [47] [恵那]
 46:  543| [45] [「――新任教師の椿山恵那です！」]
 47:  548| [47] [恵那]
 48:  551| [45] [「経験の浅さはやる気でカバーするから、みんなよろしくね！」]
 49:  556| [47] [生徒たち]
 50:  559| [45] [「よろしくおねがいしまーす！」]
 51:  564| [45] [生徒たちが恵那の挨拶に、素直に答える。]
 52:  569| [45] [教員として生活するにあたって、恵那が心がけた事は、まず生徒に親しまれようという事だった。]
 53:  574| [45] [生徒に警戒されては、管理官としての職務に支障をきたす。]
 54:  579| [45] [そうならないよう、『教育熱心だけど、ややお茶目なところもある、親しみやすい先生』を演じるのだ。]
 55:  584| [45] [気の進まない仕事でも、やるからには全力を尽くそうと思っていた。]
 56:  589| [47] [恵那]
 57:  592| [45] [「なにか質問があったら、なんでも答えるわよ？」]
 58:  597| [45] [その言葉に、生徒の１人が声を上げる。]
 59:  640| [47] [ましろ]
 60:  643| [45] [「先生、彼氏いるんですか？」]
 61:  648| [45] [定番の質問をしてきたのは、意外にも女生徒だった。]
 62:  709| [47] [恵那]
 63:  710| [45] [（この子は確か『鳥羽ましろ』……適性度Ｂ、能力レベル３のコミュニケーターか）]
 64:  715| [47] [恵那]
 65:  716| [45] [（適性度Ｂなら、いずれエンパシーを発現してもおかしくない。注意が必要ね）]
 66:  774| [45] [そんな事を思いながら、恵那は微笑んで答える。]
 67:  779| [47] [恵那]
 68:  782| [45] [「いないわよ。というか鹿鳴市に引っ越してきたばかりで、知り合いも友人もほとんどいないの」]
 69:  808| [47] [ましろ]
 70:  811| [45] [「あ、じゃあ私と友達になりましょう！」]
 71:  816| [45] [そんな事を言うましろを、隣の席の男子がいさめる。]
 72:  824| [47] [夏彦]
 73:  827| [45] [「こらましろ、先生に対して失礼だろ」]
 74:  930| [47] [恵那]
 75:  931| [45] [（っ……あの子が『天川夏彦』。適性度Ｓ、能力レベル０の少年ね）]
 76:  936| [47] [恵那]
 77:  937| [45] [（適性度と能力レベルが明らかに一致しない、極めて特異な生徒。注意深く監視しておかなければ）]
 78:  995| [47] [恵那]
 79:  998| [45] [「あらいいのよ。私も教師になりたてだし年齢も近いし、友達のように接してくれればむしろ嬉しいわ」]
 80: 1041| [47] [ましろ]
 81: 1044| [45] [「ほらね夏彦、私もそう睨んでたんだよ」]
 82: 1070| [47] [夏彦]
 83: 1073| [45] [「そうやってお前は、すぐ調子に乗る……」]
 84: 1078| [47] [恵那]
 85: 1081| [45] [「ふふ、まぁまぁ落ち着いて」]
 86: 1086| [47] [恵那]
 87: 1089| [45] [「それではみなさん、さっそく授業を始めましょうか！」]
 88: 1094| [47] [生徒たち]
 89: 1097| [45] [「はーい！」]
 90: 1102| [45] [ともかくそんな風にして、恵那の教師生活が始まったのだった。]
 91: 1151| [45] [――鹿鳴学園の生徒たちは皆とても素直で、心根の真っ直ぐな子が多かった。]
 92: 1156| [45] [恐らく幼少時から、コミュニケーターばかりの環境で育っている事が、その一因となっているのだろう。]
 93: 1161| [45] [心を読む・読まれる、あるいは心を伝える・伝えられるというのが、当たり前の事として行われていれば――]
 94: 1166| [45] [必然的に、裏表の少ない人格が育成されやすくなるらしい。]
 95: 1171| [45] [だが恵那にはやはり、その環境はストレスを与えた。]
 96: 1176| [45] [周囲のほぼ全ての人間が、コミュニケーターであるという異常な状況。それはささくれた恵那の心に痛みを負わせたのだ。]
 97: 1181| [47] [恵那]
 98: 1182| [45] [（早く、この環境に慣れなくては……）]
 99: 1187| [45] [恵那には黒田の意図が、よくわからなかった。]
100: 1192| [45] [管理官としての適性を試し、精神と能力を鍛えるためには、もってこいの環境かもしれないが……。]
101: 1251| [45] [――だが、不慣れな仕事に戸惑う恵那を助けたのは、他ならぬ生徒たちだった。]
102: 1284| [47] [ましろ]
103: 1287| [45] [「恵那先生っ、いまお帰りですか？」]
104: 1338| [45] [ある日の帰り際、廊下でましろに声をかけられた。]
105: 1376| [45] [傍らには夏彦もいる。]
106: 1381| [47] [恵那]
107: 1384| [45] [「あら、２人も帰るところ？」]
108: 1410| [47] [夏彦]
109: 1413| [45] [「はい」]
110: 1418| [47] [恵那]
111: 1421| [45] [「じゃあ、ちょっとそこまで一緒に行きましょうか」]
112: 1543| [45] [恵那はつい先日、夏彦の母である天川美夜子博士と会って、彼への接し方について話し合っていた。]
113: 1548| [47] [恵那]
114: 1549| [45] [（……博士もああ言っていたし、天川くんの事は、注意深く観察するべきよね）]
115: 1554| [45] [そのちょうどいい機会が訪れたと、彼女は思っていた。]
116: 1600| [45] [この要注意人物たちを観察するいい機会だと、彼女は思っていた。]
117: 1683| [45] [恵那は歩きながら、夏彦たちと話す。]
118: 1688| [45] [新任教師らしい、当たり障りのない言葉を選びながら。]
119: 1693| [47] [恵那]
120: 1696| [45] [「ねぇ、２人に聞きたいんだけど……私の授業、問題ないかしら？」]
121: 1722| [47] [ましろ]
122: 1725| [45] [「えっ、どういう意味ですか？」]
123: 1730| [47] [恵那]
124: 1733| [45] [「新米だから自信がないのよ。わかりにくいところとかあったら、言ってくれると助かるわ」]
125: 1759| [47] [夏彦]
126: 1762| [45] [「そんな事ないですよ。すごくわかりやすいです」]
127: 1788| [47] [ましろ]
128: 1791| [45] [「うん。それに熱心だし、私たちにも距離置かないで接してくれるし。他の先生とは一味違います」]
129: 1796| [47] [恵那]
130: 1799| [45] [「え……他の先生と違うって？」]
131: 1825| [47] [ましろ]
132: 1828| [45] [「いや～、やっぱこの学校に新しく赴任してきた先生って、私たちに対して壁を作っちゃうんですよね」]
133: 1854| [47] [ましろ]
134: 1857| [45] [「どうしてもコミュニケーターって、心を読める超能力者とかなんとか、誤解されやすいっていうか……」]
135: 1883| [47] [夏彦]
136: 1886| [45] [「確かにな。ふだん自分がコミュニケーターであることについては、あまり自覚する事もないけど――」]
137: 1912| [47] [夏彦]
138: 1915| [45] [「よそから来た人とかに不気味がられると、ちょっとショックだよな」]
139: 1941| [47] [ましろ]
140: 1944| [45] [「でも先生はちっとも物怖じしないから、私たちもほっとするんです」]
141: 1949| [47] [恵那]
142: 1952| [45] [「……そりゃ当然よ、教師なんですもの」]
143: 1957| [47] [恵那]
144: 1960| [45] [「生徒に怯えてたりしたら、教師失格よ」]
145: 1965| [45] [恵那の言葉に、夏彦もましろも安堵したように微笑んだ。]
146: 2008| [45] [――だが恵那は内心で、わずかに後ろめたさを覚えていた。]
147: 2013| [45] [恵那は『気さくな教師』という仮の役割を演じているだけで、その真の使命は別のところにある。]
148: 2018| [45] [鹿鳴学園の生徒から、Ｎ化するコミュニケーターが出ないか、常に監視しておくこと……。]
149: 2023| [45] [遺伝子検査や能力レベル試験を行い、生徒たちの能力を常に測っておくのも、全てはそのためだ。]
150: 2028| [45] [特に夏彦は、現在日本に６人しかいない適性度Ｓのコミュニケーターの１人。]
151: 2033| [45] [超科局からもラボからも、『最重要監視対象』として認定されている。]
152: 2038| [45] [万が一夏彦がＢＣに目覚め、センシズシンパシーを発現した場合は、ただちに拘束する。]
