  0:   65| [45] [――部屋の中に、サリュの声が響く。]
  1:   94| [47] [サリュ]
  2:   97| [45] [「……１９５、１９６、１９７……」]
  3:  102| [45] [それはプッシュアップの回数をカウントする声。]
  4:  107| [47] [サリュ]
  5:  110| [45] [「……２００」]
  6:  115| [45] [サリュはトレーニングを終え、息をついた。]
  7:  120| [47] [サリュ]
  8:  123| [45] [「ふぅ……」]
  9:  128| [45] [サリュは汗を拭きながら思う。]
 10:  133| [47] [サリュ]
 11:  134| [45] [（運動はいい……）]
 12:  139| [47] [サリュ]
 13:  140| [45] [（くたくたになるまで体を動かしていれば、余計な事を考えずに済むし、成長の実感もある）]
 14:  145| [45] [かつて彼女の脳に詰め込まれた、膨大な身体操作の技術は、実用できるようになってきた。]
 15:  150| [45] [もっとも器械体操や陸上競技などの訓練は、この部屋では行えない。]
 16:  155| [45] [サリュのお気に入りは、単純な筋力トレーニングと、それから格闘技の類だ。]
 17:  160| [45] [特に日本武術における『形』という訓練法は、自分独りしかいなくても戦闘技術を磨くのに適している。]
 18:  165| [45] [自分の目の前に敵がいる事を想定し、それと戦うのだ。]
 19:  170| [45] [サリュは自身で作り出した幻影の敵と、今までに数え切れぬ程の戦いを行った。]
 20:  175| [45] [近頃は連勝が続いている。確かに自分が強くなっている実感がある。]
 21:  180| [47] [サリュ]
 22:  181| [45] [（……無論、それは全て無意味な事なのだけど）]
 23:  186| [45] [だが世界から断絶してしまったサリュは、自分自身の肉体に――]
 24:  191| [45] [例えば成長や疲労などの動物的な反応にしか、自己の存在証明を見出す事ができなかった。]
 25:  196| [45] [己を鍛える事と、本を読む事。それがサリュの人生の全てとなっていたのだ。]
 26:  245| [45] [サリュは私室内に備え付けられたバスルームで、シャワーを浴びた。]
 27:  250| [45] [後は何もする事はない。寝るだけだ。]
 28:  309| [45] [寝巻きに着替え、そしてベッドに潜り込む。]
 29:  369| [45] [するとすぐに消灯時間が訪れ、部屋を照らす灯りが消えた。]
 30:  374| [47] [サリュ]
 31:  375| [45] [（……博士、今日も来なかった）]
 32:  380| [45] [基本的に博士は、毎日なんだかんだと理由をつけて、サリュの顔を見に来る。]
 33:  385| [45] [だがここ数日は、それも途絶えていた。]
 34:  390| [47] [サリュ]
 35:  391| [45] [（他の被験体のところに顔を出すのが、忙しいの……？）]
 36:  396| [45] [その事について深く考えると、だんだん怖くなってくる。]
 37:  401| [45] [思考を停止するように努めたが、なかなか寝られない。]
 38:  406| [45] [暗闇の中、サリュはただ目を瞑っていたが――]
 39:  459| [45] [しばらくして、不意に照明が点灯した。]
 40:  464| [47] [サリュ]
 41:  467| [45] [「っ？」]
 42:  472| [45] [まさか寝られないうちに、朝が来てしまったのだろうか。]
 43:  507| [45] [そう思った時、博士が部屋に駆け込んできた。]
 44:  518| [47] [美夜子]
 45:  521| [45] [「優衣、起きてる！？」]
 46:  526| [47] [サリュ]
 47:  529| [45] [「博士？」]
 48:  534| [45] [こんな時間に博士が来る事など、滅多にない。]
 49:  545| [45] [サリュは戸惑いながら、ベッドから身を起こした。]
 50:  550| [47] [サリュ]
 51:  553| [45] [「起きてたけど、なに」]
 52:  561| [47] [美夜子]
 53:  564| [45] [「優衣、ここを出られるといったらどうする？」]
 54:  569| [47] [サリュ]
 55:  572| [45] [「――え？」]
 56:  577| [45] [博士の言葉に、サリュは息を呑んだ。]
 57:  582| [47] [サリュ]
 58:  585| [45] [「……どうして急に、そんな事を？」]
 59:  611| [47] [美夜子]
 60:  614| [45] [「ようやく許可が取れたの。上が心変わりをする前に、決めてしまいましょう」]
 61:  619| [47] [サリュ]
 62:  622| [45] [「……嘘！　そんな事できるわけがない！」]
 63:  627| [45] [予想もしない言葉に、サリュは動揺していた。]
 64:  632| [45] [だが博士ははっきりと言う。]
 65:  658| [47] [美夜子]
 66:  661| [45] [「そうよね。上層部の連中は無論、あなたがラボから出る事を認めなかった」]
 67:  666| [47] [サリュ]
 68:  669| [45] [「無理もない。私が外でラボの内情を語れば、この施設の運営が破綻するもの」]
 69:  695| [47] [美夜子]
 70:  698| [45] [「そこで私が出した条件は――」]
 71:  706| [47] [美夜子]
 72:  709| [45] [「『優衣の記憶を改竄し、ラボの実態に関する全記憶を抹消する事』」]
 73:  735| [47] [美夜子]
 74:  738| [45] [「それと引き換えに、あなたを自由にする……その確約を取り付けたの」]
 75:  743| [47] [サリュ]
 76:  746| [45] [「！」]
 77:  751| [45] [一瞬驚いたが――考えてみれば、サリュがラボにいる意味など、とうになくなっている。]
 78:  756| [45] [被験体としての役目を失ったサリュは、すでに『破棄された』扱いになっているらしい。]
 79:  761| [45] [あとはこの施設についての記憶さえなくなれば、ラボ側としても、厄介払いができたと言えるだろう。]
 80:  823| [47] [美夜子]
 81:  826| [45] [「……優衣、正直に答えて」]
 82:  834| [47] [美夜子]
 83:  837| [45] [「あなたはここを出て、自由になりたい？」]
 84:  842| [47] [サリュ]
 85:  843| [45] [「――……」]
 86:  848| [45] [――その時、なぜそう答えようと思ったのかはわからない。]
 87:  853| [45] [今まで一度も、そんな希望を抱いた事はなかったが――]
 88:  858| [47] [サリュ]
 89:  861| [45] [「……なりたい」]
 90:  866| [45] [サリュは、はっきりとそう言った。]
 91:  871| [45] [それはその１３年の生涯において、何かを選択するという事がただの一度もなかった彼女が、初めて選んだ未来だった。]
 92:  903| [47] [美夜子]
 93:  906| [45] [「よく言ったわ、優衣……」]
 94:  914| [47] [美夜子]
 95:  917| [45] [「あなたに自由と、新たな役目を与えてあげる」]
 96: 1004| [45] [――サリュは博士に手を引かれ、部屋を出た。]
 97: 1030| [47] [美夜子]
 98: 1033| [45] [「記憶操作は、もう１人の被験体が行うわ」]
 99: 1038| [47] [サリュ]
100: 1041| [45] [「もう１人って……『被験体ＹⅡ』が？」]
101: 1046| [45] [博士はサリュの問いに頷く。]
102: 1051| [45] [顔は見た事はないが、識別名は聞いた事があった。]
103: 1056| [45] [サリュの部屋の隣の部屋に、被験体ＹⅡと呼ばれるコミュニケーターがいると。]
104: 1061| [45] [博士はそこまでサリュを引っ張っていき――その扉を開けた。]
105: 1208| [45] [扉の向こうには、優しげな少女がいた。]
106: 1216| [47] [悠里]
107: 1219| [45] [「はじめまして、優衣ちゃん」]
108: 1224| [47] [サリュ]
109: 1227| [45] [「あなたは……」]
