  0:   66| [45] [――それは、サリュが９歳の時の記憶――]
  1:   75| [45] [彼女の生活には、変化がなかった。]
  2:   80| [45] [記憶伝達実験によって増える知識以外は、何一つ変わらない毎日……。]
  3:   85| [45] [そんな日々の中、サリュにとってお気に入りだったのは、地下庭園で過ごす時間だった。]
  4:  121| [45] [ある日――サリュは博士と共に、寄り添うように空を眺めていた。]
  5:  126| [45] [被験体たちにはこうして、Ｚｅｒｏエリア内を自由に歩き回る時間が与えられている。]
  6:  131| [45] [規則として他の被験体には会えないが、天川博士の引率の元、地下庭園などに出られるのは、数少ない楽しみの一つだ。]
  7:  136| [45] [もっとも、サリュたちが見上げているのは本物の星空ではない。]
  8:  141| [45] [天井と壁に映し出された、言わばプラネタリウム。]
  9:  146| [45] [時間や季節の変化に合わせて映像が変わるものの、あくまで贋物の空である。]
 10:  151| [45] [しかし、サリュはそれを飽くことなく見続けていた。]
 11:  213| [47] [美夜子]
 12:  216| [45] [「優衣、面白い？」]
 13:  221| [47] [サリュ]
 14:  224| [45] [「面白い」]
 15:  229| [47] [サリュ]
 16:  232| [45] [「空は時と共に移ろい、星は季節によって変化していく。実に興味深い」]
 17:  258| [47] [美夜子]
 18:  261| [45] [「そう。それならよかったわ」]
 19:  266| [47] [サリュ]
 20:  269| [45] [「ところで博士、また星の話をしてほしい」]
 21:  295| [47] [美夜子]
 22:  298| [45] [「え、今日も？」]
 23:  303| [47] [サリュ]
 24:  306| [45] [「星の話や星座にまつわる神話は、好奇心が刺激される」]
 25:  332| [47] [美夜子]
 26:  335| [45] [「そう、それじゃあね……」]
 27:  340| [45] [博士は空を指差した。]
 28:  415| [45] [指先には、一際輝く３つの星がある。]
 29:  462| [47] [美夜子]
 30:  465| [45] [「あれは『夏の大三角形』。３つのα星によって描かれる、アスタリズム」]
 31:  473| [47] [美夜子]
 32:  476| [45] [「３つの星の名前はそれぞれ、琴座のヴェガ、わし座のアルタイル、白鳥座のデネブ」]
 33:  484| [47] [美夜子]
 34:  487| [45] [「日本ではヴェガとアルタイルは、特別な星として認識されているわ」]
 35:  492| [47] [サリュ]
 36:  495| [45] [「特別な星？」]
 37:  503| [47] [美夜子]
 38:  506| [45] [「七夕の伝説というものがあるのよ」]
 39:  511| [47] [サリュ]
 40:  514| [45] [「伝説……」]
 41:  519| [45] [その言葉にサリュの心は惹きつけられた。]
 42:  524| [45] [人が創造せし物語――人の想像がたどり着ける場所。]
 43:  529| [45] [それこそがサリュの求めているものだった。]
 44:  576| [47] [美夜子]
 45:  579| [45] [「ヴェガは織姫、アルタイルは彦星と名づけられ、擬人化されているの」]
 46:  587| [47] [美夜子]
 47:  590| [45] [「織姫と彦星との間には天の川があり、１年に１度しか会えない」]
 48:  598| [47] [美夜子]
 49:  601| [45] [「愛する２人が、本人の意思とは関係なく引き裂かれる、悲劇の伝説として伝えられているのよ」]
 50:  606| [47] [サリュ]
 51:  609| [45] [「なるほど。勉強になる」]
 52:  682| [47] [サリュ]
 53:  685| [45] [「でも、なぜ？」]
 54:  711| [47] [美夜子]
 55:  714| [45] [「……え？」]
 56:  719| [47] [サリュ]
 57:  722| [45] [「なぜ２人は、１年に１度しか会えないの？」]
 58:  745| [47] [美夜子]
 59:  746| [45] [「……」]
 60:  754| [47] [美夜子]
 61:  757| [45] [「え、えーと、どうしてだったかしら……」]
 62:  783| [47] [美夜子]
 63:  786| [45] [「ごめんなさい、専門以外は私もそんなに詳しくないの」]
 64:  791| [47] [サリュ]
 65:  794| [45] [「……残念」]
 66:  799| [45] [肩を落としつつ、サリュはもう一度星空を見上げた。]
 67:  883| [45] [――視線の先には、無数の星が瞬いている。]
 68:  888| [45] [博士から聞いたところによれば、サリュたちのいる地球もまた『星』なのだという。]
 69:  893| [47] [サリュ]
 70:  894| [45] [（知識としては理解できるけど、信じられない……）]
 71:  899| [45] [天蓋の向こうの宇宙には、たくさんの世界があるのだろうか。]
 72:  904| [45] [そこには人間のような存在もいるのだろうか。]
 73:  909| [45] [地球に我々がいるように。]
 74:  914| [47] [サリュ]
 75:  915| [45] [（そんなことが、ありえる――？）]
 76:  920| [47] [サリュ]
 77:  923| [45] [「……博士。宇宙に飛び出して、星に辿り着いた人間はいるの？」]
 78:  928| [47] [美夜子]
 79:  931| [45] [「フィクションではたくさんあるけれど……事実としては数度きりよ」]
 80:  936| [47] [美夜子]
 81:  939| [45] [「１９６９年、アポロ１１号が月に到達したわ」]
 82:  944| [47] [美夜子]
 83:  947| [45] [「月以外の星には、まだ辿り着いていないわね」]
 84:  952| [47] [サリュ]
 85:  955| [45] [「ではどんなものでもいい。それに関する書物を」]
 86:  960| [47] [美夜子]
 87:  963| [45] [「優衣は本当に星が好きなのね」]
 88:  968| [47] [美夜子]
 89:  971| [45] [「わかったわ。集められるだけ集めてくる」]
 90:  976| [47] [サリュ]
 91:  979| [45] [「感謝する」]
 92:  984| [47] [美夜子]
 93:  987| [45] [「さて、そろそろ終わりにしましょう。消灯時間も近づいてきたし」]
 94:  992| [47] [サリュ]
 95:  995| [45] [「ん」]
 96: 1000| [45] [天川博士に手を引かれ、サリュは自分の部屋に戻る。]
 97: 1005| [45] [それから寝入るまで、サリュの胸にはいつまでも星の光が瞬いていた。]
 98: 1060| [45] [――翌日、サリュの部屋に山ほどの本が届けられた。]
 99: 1065| [45] [『星』に関する学術書ばかりが、たくさん積まれている。]
100: 1070| [45] [数十冊にも及ぶ膨大な量の書籍を、サリュはわずか３日で読破した。]
101: 1075| [45] [だがアポロに関する資料は、意外とサリュの興味を引かなかった。]
102: 1080| [47] [サリュ]
103: 1081| [45] [（月面は寒々しく、ここよりなお寂しい……）]
104: 1086| [45] [温もりもない、石と砂だけの冷たい世界。]
105: 1091| [45] [そんなものよりも、サリュの心を動かしたのは――]
106: 1096| [45] [むしろフィクションの方だった。]
107: 1213| [47] [美夜子]
108: 1216| [45] [「あら？」]
109: 1221| [45] [その３日後――久しぶりにサリュの部屋に来た博士が、驚きの声を上げた。]
110: 1226| [45] [サリュが読んでいた本に、目を止めて言う。]
111: 1252| [47] [美夜子]
112: 1255| [45] [「優衣、それ気に入ったの？」]
113: 1260| [47] [サリュ]
114: 1263| [45] [「ん。この本は実に面白い。もう３回も読み直してしまった」]
115: 1268| [45] [サリュが掲げたのは、１冊のＳＦジュブナイルだった。]
