  0:   65| [45] [――それは９月１４日の夜。]
  1:   70| [45] [夏彦たちとカラオケボックスで、寝泊りした時の記憶だった……。]
  2:   75| [45] [――……]
  3:  123| [47] [サリュ]
  4:  126| [45] [「……っ？」]
  5:  131| [45] [――寝入ってすぐに、何か物音が聴こえ、サリュは目を覚ました。]
  6:  136| [45] [見れば夏彦の姿が消えている。]
  7:  141| [47] [サリュ]
  8:  144| [45] [「……夏彦？」]
  9:  149| [45] [そう問いかけても、答えはなかった。]
 10:  154| [47] [サリュ]
 11:  157| [45] [「どこにいったのだろう……」]
 12:  162| [45] [そう呟いた時、すぐそばで声がした。]
 13:  196| [47] [ましろ]
 14:  199| [45] [「……たぶん、電話をかけにいったんだよ」]
 15:  204| [47] [サリュ]
 16:  207| [45] [「っ！」]
 17:  212| [45] [声の主はましろだった。]
 18:  217| [45] [眠っていたと思っていたが、起きていたらしい。]
 19:  222| [47] [サリュ]
 20:  225| [45] [「電話？　誰に？」]
 21:  251| [47] [ましろ]
 22:  254| [45] [「悠里に……」]
 23:  280| [47] [ましろ]
 24:  283| [45] [「夏彦が夜、家を空けることなんて、めったにないからさ」]
 25:  291| [47] [ましろ]
 26:  294| [45] [「そういう時は、悠里を心配して、電話をかけるんだよ」]
 27:  299| [47] [サリュ]
 28:  302| [45] [「……いないのに？」]
 29:  328| [47] [ましろ]
 30:  331| [45] [「いないのに。でも電話越しの声は聞こえるんだね」]
 31:  336| [47] [サリュ]
 32:  339| [45] [「そう……」]
 33:  344| [45] [サリュがそう答えると、沈黙が降りた。]
 34:  349| [45] [ましろと２人きりになる機会は珍しい。]
 35:  354| [45] [せっかくの機会なので、サリュは彼女に尋ねてみた。]
 36:  359| [47] [サリュ]
 37:  362| [45] [「……あの、ましろ」]
 38:  388| [47] [ましろ]
 39:  391| [45] [「なに？」]
 40:  396| [47] [サリュ]
 41:  399| [45] [「悠里って、どんな子だったの？」]
 42:  425| [47] [ましろ]
 43:  428| [45] [「うん……」]
 44:  433| [45] [ましろは少し考えてから、答える。]
 45:  459| [47] [ましろ]
 46:  462| [45] [「可愛くて、すごくすごく優しくて……私の憧れの女の子だったよ」]
 47:  467| [47] [サリュ]
 48:  470| [45] [「夏彦にとっては？」]
 49:  496| [47] [ましろ]
 50:  499| [45] [「夏彦にとっては、ちょっと違ってたかな」]
 51:  507| [47] [ましろ]
 52:  510| [45] [「憧れっていうより、護ってあげたい女の子だったみたい」]
 53:  536| [47] [ましろ]
 54:  539| [45] [「……でも、護れなかったからさ」]
 55:  547| [47] [ましろ]
 56:  550| [45] [「その事実を受け入れられなかった夏彦は……悠里が生きている時のまま、自分の時間を止めちゃったんだね」]
 57:  555| [47] [サリュ]
 58:  556| [45] [「……」]
 59:  561| [45] [ましろの表現は少し迂遠で、サリュには理解し難かったが、だいたいの意味はつかめた。]
 60:  566| [47] [サリュ]
 61:  569| [45] [「夏彦は今でも、悠里が好きなのね」]
 62:  577| [47] [ましろ]
 63:  580| [45] [「そう、だね……」]
 64:  585| [47] [サリュ]
 65:  588| [45] [「ましろも、悠里が今も好きなの？」]
 66:  614| [47] [ましろ]
 67:  617| [45] [「大好きだよ、もちろん……夏彦の『好き』とは違うけどね」]
 68:  643| [47] [ましろ]
 69:  646| [45] [「……サリュにはまだ早いかな？」]
 70:  651| [47] [サリュ]
 71:  654| [45] [「そうでもない。たぶん」]
 72:  680| [47] [ましろ]
 73:  683| [45] [「え？　って……まさかサリュも、夏彦の事が好きだとか……？」]
 74:  688| [47] [サリュ]
 75:  691| [45] [「ん。博士とましろの次に好き」]
 76:  717| [47] [ましろ]
 77:  720| [45] [「……そ」]
 78:  725| [47] [アリス]
 79:  728| [45] [「きゅう」]
 80:  733| [45] [その時、アリスが『安堵』を意味する声を上げた。]
 81:  738| [47] [サリュ]
 82:  741| [45] [「ましろは今、安堵した。なぜ？」]
 83:  767| [47] [ましろ]
 84:  770| [45] [「えっ？　あ、いや……」]
 85:  796| [47] [ましろ]
 86:  799| [45] [「……参ったな、アリスにはお見通しなんだね」]
 87:  804| [47] [サリュ]
 88:  807| [45] [「？」]
 89:  833| [47] [ましろ]
 90:  836| [45] [「その……私ね、自分で言うのもなんだけど……こう見えて、けっこう嫉妬深いんだよ」]
 91:  841| [47] [サリュ]
 92:  844| [45] [「……？」]
 93:  870| [47] [ましろ]
 94:  873| [45] [「永遠のライバルがいるのに、もう１人手ごわそうなのが増えると思うと……ちょっと焦っちゃったのさ」]
 95:  878| [47] [サリュ]
 96:  881| [45] [「……？？？　ごめん、わからない」]
 97:  907| [47] [ましろ]
 98:  910| [45] [「サリュにはやっぱり、まだ早かったかな？」]
 99:  915| [47] [サリュ]
100:  918| [45] [「……そうみたい」]
101:  923| [45] [ましろの言動に不整合な点が出たのは、それが初めての事だった。]
102:  928| [47] [サリュ]
103:  931| [45] [「……ましろも、時には謎なのね」]
104:  957| [47] [ましろ]
105:  960| [45] [「人は謎のカタマリだよ」]
106:  986| [47] [ましろ]
107:  989| [45] [「……でもね、サリュ？　だから人と触れ合うのは、楽しいんだよ」]
108:  994| [47] [サリュ]
109:  997| [45] [「謎を解く楽しさ？」]
110: 1023| [47] [ましろ]
