  0:   61| [45] [１６年前、渡瀬が１６歳だった頃――。]
  1:   66| [45] [その日、渡瀬は自分の部屋でクラシック音楽を聞きながら、心静かに本を読んでいた。]
  2:   71| [45] [そこに、彼女の元気な声が響く。]
  3:  109| [47] [亘]
  4:  112| [45] [「わーたーせーっ！」]
  5:  117| [45] [渡瀬のリラックスタイムは、その声一発で台無しになる。]
  6:  122| [47] [渡瀬]
  7:  123| [45] [（やれやれ、またあいつか……）]
  8:  146| [45] [渡瀬が振り返ると、そこには彼とよく似た顔の少女が――]
  9:  151| [45] [『亘』がいた。]
 10:  159| [47] [渡瀬]
 11:  162| [45] [「なんだよ亘、騒々しいな。なんかあったのか？」]
 12:  191| [47] [亘]
 13:  194| [45] [「外を見てごらんよ！　いい天気だよ！？」]
 14:  202| [47] [渡瀬]
 15:  205| [45] [「え……そんだけ？」]
 16:  231| [47] [亘]
 17:  234| [45] [「勉強ばっかりしてないで、遊びに行こうよぅ」]
 18:  242| [47] [渡瀬]
 19:  245| [45] [「やだ。天気いいから遊びにいくって、子供じゃあるまいし」]
 20:  314| [47] [亘]
 21:  317| [45] [「いいからいいから。部屋にばっかりこもってると腐っちゃうよ？」]
 22:  322| [45] [亘は強引に、渡瀬を机から引き剥がす。]
 23:  330| [47] [渡瀬]
 24:  333| [45] [「お、おい……」]
 25:  359| [47] [亘]
 26:  362| [45] [「ほらほら急いで。市街に出るんだから、早く支度してね」]
 27:  370| [47] [渡瀬]
 28:  373| [45] [「……わかったよ、ちょっと待ってろ」]
 29:  421| [45] [渡瀬は一応抵抗したが、やがては折れた。]
 30:  426| [45] [亘が何か言い出したら、逆らっても無駄だと知っているからだ。]
 31:  471| [45] [暖かな陽光が通りを照らす。]
 32:  476| [45] [渡瀬と亘は並んで街を歩いた。]
 33:  511| [47] [亘]
 34:  514| [45] [「うーん、実にいい日和だね～。世界も輝いて見えるね～」]
 35:  522| [47] [渡瀬]
 36:  525| [45] [「そうだな」]
 37:  530| [45] [幸せそうに言う亘に、渡瀬はそっけなく答える。]
 38:  603| [45] [渡瀬の双子の姉である彼女は、彼と顔は似ていても、性格はまるで逆だった。]
 39:  608| [45] [インドア派の渡瀬は、休日は本でも読んで過ごしたい。]
 40:  613| [45] [そんな彼を亘は、何かと引っ張りまわすのだ。]
 41:  674| [47] [渡瀬]
 42:  677| [45] [「で、なんで街に行くって？　用事でもあんのか？」]
 43:  703| [47] [亘]
 44:  706| [45] [「いやバイト代入ったからさぁ、あんたになんか買ってあげようと思ってね」]
 45:  714| [47] [渡瀬]
 46:  717| [45] [「あ、じゃあ本屋でなんか文庫本でも……」]
 47:  744| [47] [亘]
 48:  747| [45] [「だめだめそんなの、おごり甲斐がないよ。どうせ買うならもっと買って楽しいものを……」]
 49:  773| [47] [亘]
 50:  776| [45] [「そうだ！　今日はお姉ちゃんが、あんたに服を買ってあげよう！」]
 51:  784| [47] [渡瀬]
 52:  787| [45] [「え、いいよ別に」]
 53:  813| [47] [亘]
 54:  816| [45] [「いいからいいから。あんた素材はいいんだから、ちゃんとオシャレしないと」]
 55:  824| [47] [渡瀬]
 56:  827| [45] [「それって遠まわしに自分を褒めてないか？」]
 57:  853| [47] [亘]
 58:  856| [45] [「にしし、そういう見方もあるかもね」]
 59:  861| [45] [そんな会話を交わしながら、亘の意向のままに歩き――]
 60:  909| [45] [彼女オススメの『安くてオシャレな店』に連れて行かれ、あれこれと服を買い込んだ。]
 61:  973| [45] [全身着替えて店から出ると、亘がまじまじと渡瀬を見て言う。]
 62:  999| [47] [亘]
 63: 1002| [45] [「……うん、上出来！　我が弟ながらステキだわ」]
 64: 1010| [47] [渡瀬]
 65: 1013| [45] [「そうかねぇ」]
 66: 1018| [45] [渡瀬は服装には頓着しない。ただそういうものかと思うばかりだ。]
 67: 1026| [47] [渡瀬]
 68: 1029| [45] [「まぁいいや、それより腹減ったし、なんか食いにいこうぜ」]
 69: 1055| [47] [亘]
 70: 1058| [45] [「それじゃ今度は、あんたのおごりね」]
 71: 1066| [47] [渡瀬]
 72: 1069| [45] [「ん……仕方ねーな、そんくらいは持つよ」]
