  0:   53| [45] [――『明日からランニングをしよう！』と亘に提案された後――]
  1:   58| [45] [渡瀬は律儀に、彼女に付き合った。市街地を適当に走るという、計画性のないランニングだが。]
  2:   63| [45] [それから３ヵ月後の日曜日……。]
  3:  114| [45] [渡瀬と亘は、その日も２人で、体力づくりに励んでいた。]
  4:  183| [45] [そして家から３ｋｍほど離れた地点で――]
  5:  225| [47] [亘]
  6:  228| [45] [「わ、わたせ、まってぇ～……」]
  7:  233| [45] [亘が音を上げた。]
  8:  241| [47] [渡瀬]
  9:  244| [45] [「なんだもう休憩か？　だらしねーな」]
 10:  249| [45] [渡瀬が足を止めると、彼女は息も絶え絶えに呟く。]
 11:  293| [47] [亘]
 12:  296| [45] [「ず、ずるい……なんで同じ顔して、同じトレーニングしてんのに、早くもこんな体力差が……」]
 13:  304| [47] [渡瀬]
 14:  307| [45] [「さーな。男女の差か、あるいは卵が違うからか」]
 15:  333| [47] [亘]
 16:  336| [45] [「な、納得いかない……」]
 17:  344| [47] [渡瀬]
 18:  347| [45] [「まぁいいさ、俺もちょっとノド渇いた。軽く休憩しようぜ」]
 19:  373| [47] [亘]
 20:  376| [45] [「うぇ～い」]
 21:  439| [45] [渡瀬たちは近くの自販機に歩み寄り、スポーツドリンクを買った。]
 22:  444| [45] [それを飲みながら、一息ついていると――]
 23:  449| [45] [どこかから、妙な声が聞こえてきた。]
 24:  470| [47] [スーツの男]
 25:  473| [45] [「――市民の皆様、お騒がせ致します！」]
 26:  478| [47] [スーツの男]
 27:  481| [45] [「我々は市民団体、『反ＢＣ連盟』です！」]
 28:  489| [47] [渡瀬]
 29:  492| [45] [「ん？」]
 30:  518| [47] [亘]
 31:  521| [45] [「なんだろ？」]
 32:  536| [45] [見れば近くの建物の前に、スーツ姿の男たちが立っている。]
 33:  541| [45] [その中の１人が拡声器を持って、何事か演説していた。]
 34:  546| [47] [スーツの男]
 35:  549| [45] [「――我々は超心研の運営に、異を唱える者であります！」]
 36:  554| [47] [スーツの男]
 37:  557| [45] [「ＢＣなどという、得体の知れない技術の研究のために、我々の血税が注ぎ込まれているという状況――」]
 38:  562| [47] [スーツの男]
 39:  565| [45] [「この事についての議論も充分になされないまま、看過してもよいものでしょうか！？」]
 40:  570| [45] [男は道行く人々に――というよりは、近くにある大きな建物に向けて叫んでいるようだった。]
 41:  575| [45] [その建物は、２年ほど前に設立された、大きな研究施設。]
 42:  585| [45] [『鹿鳴市立超心理学研究所』、通称『超心研』だった。]
 43:  590| [45] [それを糾弾するような演説を、建物の目の前で行っているらしい。]
 44:  598| [47] [渡瀬]
 45:  601| [45] [「……なんなんだありゃ？　なにわめいてんだ？」]
 46:  629| [47] [亘]
 47:  632| [45] [「あぁ……近頃街を騒がせてる、ＢＣ排斥派の市民団体だね」]
 48:  640| [47] [渡瀬]
 49:  643| [45] [「ＢＣ？」]
 50:  669| [47] [亘]
 51:  672| [45] [「知らないの？　どえらい話題になってんのに」]
 52:  698| [47] [亘]
 53:  701| [45] [「ちょっと前の話だけどさ。テレパシーとかの超能力が実在する事が、科学的に証明されたんだよ」]
 54:  727| [47] [亘]
 55:  730| [45] [「遠くの人に言葉を届ける力とか、人の心を読む力とか。そういう能力を総称して『ＢＣ』っていうらしいんだ」]
 56:  738| [47] [渡瀬]
 57:  741| [45] [「あぁ、そう言えば聞いた事があるような……」]
 58:  746| [45] [渡瀬はテレビは見ないし、インターネットもあまりやらない。]
 59:  751| [45] [興味のない分野の知識は、うっすらとしか知らないのだ。]
 60:  759| [47] [渡瀬]
 61:  762| [45] [「で、そのＢＣとやらが実証されたって、具体的にどんな風に？」]
 62:  788| [47] [亘]
 63:  791| [45] [「えっと……まず２年前にフランスの科学者が『超能力が使える人』を遺伝子的に判別する方法を、偶然発見したらしくてさ」]
 64:  817| [47] [亘]
 65:  820| [45] [「まぁその学説自体も、しばらくはトンデモ扱いされてたんだけど――」]
 66:  846| [47] [亘]
 67:  849| [45] [「今年の頭に、そこの超心研の研究チームが、その説を裏付ける大発見をしてね」]
 68:  857| [47] [渡瀬]
 69:  860| [45] [「大発見って？」]
 70:  868| [47] [亘]
 71:  871| [45] [「人の心の声を伝達する素粒子、『ＢＣ粒子』ってのを発見したんだって」]
