  0:   61| [45] [――亘を助けた拍子に、車に轢かれてしまった渡瀬は――]
  1:   66| [45] [右脚大腿部を骨折し、入院する事になってしまった。]
  2:   71| [45] [車の運転手から多額の慰謝料が支払われたため、個室に入る事ができたのはありがたかったものの……]
  3:   76| [45] [亘は渡瀬以上に、ダメージを受けたようだった。]
  4:  167| [47] [亘]
  5:  170| [45] [「う、う……ごめんね渡瀬、私のせいでこんな事に……」]
  6:  175| [45] [見舞いに来た亘は、足をギプスで固められた渡瀬を見て、涙声を上げた。]
  7:  180| [45] [渡瀬は手をひらひら振って言う。]
  8:  188| [47] [渡瀬]
  9:  191| [45] [「いや気にするなって。単なる骨折だし、後遺症が残るわけでもないしさ」]
 10:  199| [47] [亘]
 11:  202| [45] [「そ、そう。ならいいんだけど……いやよくないけど……」]
 12:  207| [45] [亘は大きなため息をついた。]
 13:  233| [47] [亘]
 14:  236| [45] [「なんで私って、やる事なすことトラブルばっかり……」]
 15:  244| [47] [亘]
 16:  247| [45] [「アホ過ぎなお姉ちゃんで、弟的にも嫌になるでしょ……？」]
 17:  255| [47] [渡瀬]
 18:  258| [45] [「だからそんな事ないって」]
 19:  263| [45] [渡瀬はすっかりしょげ返っている亘に、少しだけ優しく言った。]
 20:  271| [47] [渡瀬]
 21:  274| [45] [「……そうしょげるなよ。亘がヘコんでると、つまんねーよ」]
 22:  282| [47] [渡瀬]
 23:  285| [45] [「だいたいランニングに付き合ったのは俺の意思だ。それで怪我しても俺の責任さ」]
 24:  311| [47] [亘]
 25:  314| [45] [「でも、もう無理に誘うのはやめるね。渡瀬、めんどくさがってたし……」]
 26:  322| [47] [渡瀬]
 27:  325| [45] [「最初は確かにそうだったけど……もう、いいんだ」]
 28:  333| [47] [渡瀬]
 29:  336| [45] [「俺もお前の夢とやらに、ちょっと付き合ってみたくなったんだよ」]
 30:  362| [47] [亘]
 31:  365| [45] [「え……？」]
 32:  370| [45] [きょとんとする亘に、渡瀬はかすかに微笑みかけた。]
 33:  378| [47] [渡瀬]
 34:  381| [45] [「お前さ、能力的にはどうあれ……立派だよ」]
 35:  389| [47] [渡瀬]
 36:  392| [45] [「人命を護る仕事につきたいっていう、しっかりした希望があって」]
 37:  400| [47] [渡瀬]
 38:  403| [45] [「俺はそういうのが全然ないから、ちょっと羨ましいんだ」]
 39:  426| [47] [亘]
 40:  427| [45] [「……」]
 41:  435| [47] [渡瀬]
 42:  438| [45] [「俺は『できる事』はあっても、『やりたい事』ってのがなんにもないんだよ」]
 43:  446| [47] [渡瀬]
 44:  449| [45] [「でもお前は、俺と真逆だからな。あれこれやりたい事を見つけては、どんどんその分野に飛び込んでいく」]
 45:  457| [47] [渡瀬]
 46:  460| [45] [「動機は単なる思いつきだったとしても、それで３ヶ月毎日ランニングしたりさ」]
 47:  468| [47] [渡瀬]
 48:  471| [45] [「物怖じしなくて、行動力もあって……だから俺もお前と一緒に行動したら、何か見つかるかなと思ってな」]
 49:  497| [47] [亘]
