  0:   60| [45] [――テロ計画が固まってからというもの、瞬く間に月日は過ぎた。]
  1:   65| [45] [渡瀬は準備を進めつつも、表面上は全くそれをおくびにも出さず、それまでと同じレスキュー隊員として過ごした。]
  2:   70| [45] [同僚の堂島と桧山も同じだった。宇喜多と会う事も最小限に留め、ただ９月１６日を待つ。]
  3:   75| [45] [……そして決行日を３日後に控えた、９月１３日。]
  4:   80| [45] [その日、渡瀬は非番だった。]
  5:   85| [45] [レスキュー隊員として迎える、最後の休日。]
  6:   90| [45] [その１日を渡瀬は、街を歩く事に使おうと思った。]
  7:  162| [45] [――生まれ育った街を、あてどなく散歩する。]
  8:  167| [47] [渡瀬]
  9:  168| [45] [（……計画を遂行したら、もうこの街には戻ってこられないだろうな……）]
 10:  173| [45] [そんな想いが、渡瀬の感傷を誘った。]
 11:  224| [45] [情景が移り変わるごとに、様々な記憶が胸をよぎる。]
 12:  229| [45] [両親に連れて行ってもらったレストランがあった。]
 13:  296| [45] [姉と買い物をした服屋があった。]
 14:  301| [47] [渡瀬]
 15:  302| [45] [（街のそこかしこに、家族の思い出が……）]
 16:  307| [45] [普段は意識さえしなかったが、こんなにも街は懐かしいものに溢れていた。]
 17:  312| [45] [家族に関すること以外にも、様々な記憶が蘇る。]
 18:  376| [45] [レスキュー試験に受かった夜に、堂島や司令長と飲み歩いた飲み屋街。]
 19:  381| [45] [初めてできた恋人と、別れ話をした喫茶店。]
 20:  386| [45] [最後にできた恋人と、寄り添い、手を繋いで歩いた道。]
 21:  391| [45] [その全ての記憶をかなぐり捨てて、渡瀬は別の人生に踏み込もうとしているのだ。]
 22:  396| [47] [渡瀬]
 23:  397| [45] [（……迷いがないと言ったら、嘘になる）]
 24:  402| [45] [だが、それでもやるべきだ。]
 25:  407| [45] [その結論はとうに出ている。]
 26:  473| [47] [渡瀬]
 27:  474| [45] [（亘の、親父の、お袋の仇を取る事ができるのは……俺しかいないんだから）]
 28:  479| [45] [笠鷺家の唯一の生存者である自分が、復讐を止めてしまっては、それこそ家族の思い出を蔑ろにする事になる。]
 29:  484| [45] [渡瀬は自分に、そう言い聞かせた。]
 30:  535| [45] [――やがて空に暗雲が立ち込めてきた。]
 31:  540| [47] [渡瀬]
 32:  541| [45] [（雨になりそうだ……）]
 33:  546| [45] [濡れるのを嫌った渡瀬は、手近なバス停に歩み寄った。]
 34:  575| [45] [ほどなくしてバスがやってきた。]
 35:  626| [45] [乗り込むと、中はひどく混んでいる。]
 36:  637| [47] [渡瀬]
 37:  638| [45] [（タクシーにすればよかったか……）]
