  0:   53| [45] [――それは３年前の、ある日の事――]
  1:  103| [45] [いつもの自主訓練を終えた渡瀬に、不意に声がかけられた。]
  2:  137| [47] [風見]
  3:  140| [45] [「失礼します！」]
  4:  148| [47] [渡瀬]
  5:  151| [45] [「ん？」]
  6:  159| [47] [風見]
  7:  162| [45] [「シリウスＡチーム隊長の、笠鷺渡瀬消防士長ですね？」]
  8:  185| [45] [振り返るとそこに、私服の女が立っていた。]
  9:  190| [45] [どこかで見た事がある気がした。]
 10:  198| [47] [渡瀬]
 11:  201| [45] [「そうだが……君は？」]
 12:  230| [47] [風見]
 13:  233| [45] [「橘風見消防士と申します。来週からシリウスに入隊する事になりました」]
 14:  284| [45] [その言葉に、渡瀬はほぅと息をつく。]
 15:  292| [47] [渡瀬]
 16:  295| [45] [「君が我が局初の、女性レスキュー隊員か。噂には聞いているよ」]
 17:  303| [47] [渡瀬]
 18:  306| [45] [「なんでも優秀な女性消防官がいると、司令長が話していた」]
 19:  314| [47] [風見]
 20:  317| [45] [「は、光栄です！」]
 21:  322| [45] [風見と名乗った女が、折り目正しく挨拶する。]
 22:  406| [45] [渡瀬はその態度に、好感を持った。]
 23:  411| [47] [渡瀬]
 24:  412| [45] [（『我が局初の、女性レスキュー隊員』か……）]
 25:  480| [45] [――遠い昔、この署の前で、亘と交わした会話を思い出す。]
 26:  506| [47] [亘]
 27:  509| [45] [「でも今のところ、女性のレスキュー隊員っていないんだよね」]
 28:  517| [47] [亘]
 29:  520| [45] [「なれるものなら、私がその座につきたいもんだ」]
 30:  536| [45] [――亘の望んだ場所に、この女性は辿り着いたのだ。]
 31:  541| [45] [恐らく相当努力をしたのだろう。渡瀬は素直に感服した。]
 32:  549| [47] [渡瀬]
 33:  552| [45] [「まぁそんなに固くなるなよ。これからは同じ釜の飯を食うんだし」]
 34:  578| [47] [風見]
 35:  581| [45] [「しかし、後輩ではあります」]
 36:  589| [47] [渡瀬]
 37:  592| [45] [「まぁそうか。そうだな」]
 38:  600| [47] [渡瀬]
 39:  603| [45] [「なんにしろ、これからよろしくな。活躍っぷりを期待してるぜ」]
 40:  629| [47] [風見]
 41:  632| [45] [「こちらこそ、よろしくご指導ご鞭撻のほど」]
 42:  683| [45] [あくまで礼を欠かさない風見の肩を、渡瀬は軽く叩いて、署の方に歩いていった。]
 43:  731| [45] [だが、署に入ってしばらくすると――]
 44:  736| [47] [渡瀬]
 45:  737| [45] [（……ん？）]
 46:  742| [47] [渡瀬]
 47:  743| [45] [（さっきの女、『橘風見』って……まさか！？）]
 48:  748| [45] [風見に見覚えがあった理由がわかった。]
 49:  753| [45] [あれはもう、何年前になるだろう。]
 50:  807| [45] [この署の近くの団地で、ガス爆発事故が発生した。]
 51:  812| [45] [渡瀬たちはその現場に出場し、そこで２人の少女を救助した。]
 52:  817| [45] [だが２人のうち、『橘凪沙』という少女は、救助後に命を落としてしまったのだ。]
 53:  867| [45] [――彼女の葬儀には、渡瀬も参列した。]
 54:  872| [45] [喪主を務めていた凪沙の姉は、端から見ていて気の毒になるほど弱っていた。]
 55:  877| [45] [だが、あの時の姉が――]
 56:  927| [47] [渡瀬]
 57:  928| [45] [（さっきの、『橘風見』……！？）]
 58:  979| [45] [印象があまりにも違っていたので、最初は気付かなかった。]
 59:  984| [45] [渡瀬はあの時の事を話そうと、再び署の前に向かった。]
 60: 1038| [45] [――だが風見の姿は、もうそこにはなかった。]
 61: 1043| [47] [渡瀬]
 62: 1044| [45] [（……もう帰っちまったか）]
 63: 1049| [45] [渡瀬はそこに佇み、思う。]
 64: 1054| [45] [葬儀の日も、その後も、渡瀬は何度か風見の元を訪ねた。]
 65: 1059| [45] [凪沙を救助した時、彼女から『お姉ちゃんに渡して下さい』と託されたものを渡そうと思って。]
 66: 1064| [45] [だがあの時の風見は、妹を失ったショックからか、ひどい精神状態に陥っていたようだ。]
 67: 1069| [45] [会話もままならない状態で、渡瀬の訪問を拒んだり、なじったり――]
 68: 1074| [47] [渡瀬]
 69: 1075| [45] [（でも、あれから何年も経って……立ち直ったんだな）]
 70: 1080| [45] [その事が渡瀬には嬉しかった。]
 71: 1085| [45] [彼女がレスキュー隊を志した理由が、妹の死と関係しているのかはわからない。]
 72: 1090| [45] [だが悲しみを乗り越えて、この世界に入ってきた彼女を、渡瀬は見守ろうと思っていた。]
 73: 1103| [47] [渡瀬]
 74: 1106| [45] [「これからよろしくな。活躍っぷりを期待してるぜ」]
 75: 1132| [47] [風見]
 76: 1135| [45] [「こちらこそ、よろしくご指導ご鞭撻のほど」]
 77: 1188| [45] [あくまで礼を欠かさない風見の肩を、渡瀬は軽く叩いて、署の方に歩いていった。]
