  0:   53| [45] [――七夕の翌日からは、渡瀬と風見はまた普通の上司と部下に戻った。]
  1:   58| [45] [時には仕事を進め方を巡って、議論を戦わせたりもした。]
  2:   63| [45] [そんなある日、小さな事件が起きた。]
  3:   68| [45] [風見が現場で、女の子を助けようとして、軽い火傷を負ったのだ。]
  4:  134| [45] [現場から戻った後、渡瀬は彼女の蛮勇を強く叱責した。]
  5:  166| [47] [渡瀬]
  6:  169| [45] [「――お前は有能だが、若干不安定なところがある」]
  7:  177| [47] [渡瀬]
  8:  180| [45] [「危なっかしくて見てられんよ。その点だけは改めろ」]
  9:  188| [47] [風見]
 10:  191| [45] [「は……はい」]
 11:  196| [45] [叱られた風見は、珍しくしょげていた。]
 12:  201| [45] [それが一瞬、妹を失った直後の彼女の姿に重なり――]
 13:  206| [45] [渡瀬は思わず、言ってしまったのだ。]
 14:  214| [47] [渡瀬]
 15:  217| [45] [「……だが、ま、心情は理解できるよ」]
 16:  225| [47] [渡瀬]
 17:  228| [45] [「妹さんの事を、気にしてるんだろ」]
 18:  289| [47] [風見]
 19:  292| [45] [「っっっ……」]
 20:  297| [45] [その言葉に、風見は目を見開いた。]
 21:  305| [47] [風見]
 22:  308| [45] [「た、隊長、もしかして……私の事、覚えてて下さったんですか？」]
 23:  316| [47] [渡瀬]
 24:  319| [45] [「ん、あぁ……」]
 25:  376| [47] [渡瀬]
 26:  379| [45] [「忘れるわけないさ……あんなに弱ってる女、見たことなかったからな」]
 27:  387| [47] [渡瀬]
 28:  390| [45] [「触れてほしくないんだろうと思って、今まで言い出さなかったが……」]
 29:  423| [47] [風見]
 30:  426| [45] [「い、いえ、申し訳ございません！」]
 31:  452| [47] [風見]
 32:  455| [45] [「私も、ずっとあの時のお礼を言いたかったんです……！」]
 33:  463| [47] [風見]
 34:  466| [45] [「妹の贈り物を届けてくださって、ありがとうございました！」]
 35:  474| [47] [渡瀬]
 36:  477| [45] [「いや、いいさ」]
 37:  482| [45] [渡瀬は微笑んで、風見の肩を叩いた。]
 38:  533| [45] [――それがきっかけになったのかもしれない。]
