  0:   77| [45] [――付き合ってみると、風見はとても可愛い女だった。]
  1:   82| [45] [どういうわけか恋愛経験はほぼ皆無らしく、服装などにも無頓着だったが――]
  2:   87| [45] [渡瀬と付き合うようになってから、身なりに気を遣うようになっていった。]
  3:  218| [47] [風見]
  4:  221| [45] [「ど、どうでしょうか？」]
  5:  226| [45] [ある非番の日の事――]
  6:  231| [45] [待ち合わせ場所で会うなり、風見は渡瀬に尋ねてきた。]
  7:  257| [47] [風見]
  8:  260| [45] [「スカートなんて、もう何年もはいてなかったから……変じゃ、ないですか？」]
  9:  312| [47] [渡瀬]
 10:  315| [45] [「いや。よく似合ってるよ、風見」]
 11:  345| [47] [風見]
 12:  348| [45] [「そ、そうですか……よかった」]
 13:  353| [45] [風見くらいの器量よしなら、何を着てもそれなりに似合うだろう。]
 14:  358| [45] [だが渡瀬にとっては、彼女の服装の変化より、渡瀬のためにお洒落をしようと思う気持ちの方が嬉しかった。]
 15:  366| [47] [渡瀬]
 16:  369| [45] [「さ、そろそろ行こうか。映画が始まっちまう」]
 17:  424| [47] [風見]
 18:  427| [45] [「はいっ」]
 19:  433| [45] [渡瀬は風見の手を引いて、歩き出した。]
 20:  485| [45] [――その日は映画を見た後、食事と買い物をして――]
 21:  490| [45] [そして軽く酒を飲んで、帰る事にした。]
 22:  541| [45] [頬をかすかに染めた風見が、渡瀬に寄り添うように歩く。]
 23:  567| [47] [風見]
 24:  570| [45] [「今日は楽しかったですね……」]
 25:  578| [47] [渡瀬]
 26:  581| [45] [「あぁ、楽しかったな」]
 27:  589| [47] [渡瀬]
 28:  592| [45] [「しばらく非番の日も揃ってるし、また来ようぜ」]
 29:  618| [47] [風見]
 30:  621| [45] [「はい……」]
 31:  626| [45] [だが風見はそう言うと、不意に俯いた。]
 32:  634| [47] [渡瀬]
 33:  637| [45] [「ん、どうした？」]
 34:  665| [47] [風見]
 35:  668| [45] [「……ごめんなさい……」]
 36:  676| [47] [風見]
 37:  679| [45] [「こんな事を言ったら、嫌な気持ちになるかもしれませんが……」]
 38:  684| [45] [風見は沈んだ声で、渡瀬に囁いた。]
 39:  710| [47] [風見]
 40:  713| [45] [「楽しく過ごしていると、なんだか罪悪感が湧いてくるんです」]
 41:  721| [47] [風見]
 42:  724| [45] [「妹を助けられなかった私が、幸せにしてていいのかって……」]
 43:  747| [47] [渡瀬]
 44:  750| [45] [「……っ」]
 45:  761| [45] [渡瀬はその言葉に、息を呑んだ。]
 46:  766| [45] [風見はまだ妹を失った事を引きずっているらしい。]
 47:  771| [45] [だがその弱々しい姿は、かつての自分に重なった。]
 48:  776| [47] [渡瀬]
 49:  777| [45] [（……似た者同士、か）]
 50:  782| [45] [渡瀬はそう思い、風見の手を握って言った。]
 51:  790| [47] [渡瀬]
 52:  793| [45] [「なぁ、風見……実はお前に、言ってなかった事があるんだ」]
 53:  801| [47] [渡瀬]
 54:  804| [45] [「俺も、姉貴を災害で亡くしているんだよ」]
 55:  830| [47] [風見]
 56:  833| [45] [「えっ……！」]
 57:  912| [45] [――渡瀬は風見に、初めて己の過去を語った。]
 58:  943| [45] [亘という姉がいた事。]
 59:  995| [45] [鹿鳴市同時多発火災に、渡瀬が被災した事。]
 60: 1047| [45] [だが亘が己の命と引き換えに、渡瀬を救ってくれた事。]
 61: 1106| [45] [そんな彼女の遺志を継いで、レスキュー隊を志した事も――]
 62: 1235| [45] [それを聞き終えた風見は、震える声で呟いた。]
 63: 1243| [47] [風見]
 64: 1246| [45] [「そんな……」]
 65: 1254| [47] [渡瀬]
 66: 1257| [45] [「俺も姉貴を失った直後は、お前みたいな気持ちになったよ」]
 67: 1265| [47] [渡瀬]
 68: 1268| [45] [「自分が生き残っちまった事を、苦痛にさえ感じた」]
 69: 1276| [47] [渡瀬]
 70: 1279| [45] [「でもな、風見……俺は思うんだ」]
 71: 1287| [47] [渡瀬]
 72: 1290| [45] [「誰かに生かされた人間は、幸せになっちゃいけないのか？」]
 73: 1295| [45] [渡瀬は風見を見つめて言った。]
 74: 1303| [47] [渡瀬]
 75: 1306| [45] [「むろん死んだ奴は、もう喜びも悲しみもしない」]
 76: 1314| [47] [渡瀬]
 77: 1317| [45] [「でも、もしあの世なんてものがあるとしたら――」]
 78: 1325| [47] [渡瀬]
 79: 1328| [45] [「俺たちが不幸そうにしているのを見て、死んでいった奴は喜ぶかな？」]
 80: 1336| [47] [渡瀬]
 81: 1339| [45] [「……そんなわけ、ないよな」]
 82: 1400| [47] [風見]
 83: 1403| [45] [「っ……」]
 84: 1408| [45] [その言葉に、風見の目が見開かれた。]
 85: 1434| [47] [風見]
 86: 1437| [45] [「……私は……」]
 87: 1445| [47] [風見]
 88: 1448| [45] [「幸せになっても、いいんでしょうか？」]
 89: 1456| [47] [渡瀬]
 90: 1459| [45] [「あぁ。妹さんのためにもな」]
 91: 1485| [47] [風見]
 92: 1488| [45] [「そう……そうなんですね……」]
 93: 1494| [45] [風見が渡瀬の手を、ぎゅっと握り返してくる。]
 94: 1520| [47] [風見]
 95: 1523| [45] [「……ありがとうございます、渡瀬さん……」]
 96: 1575| [45] [渡瀬は無言で、風見の頭を抱いた。]
 97: 1625| [45] [――『俺が幸せにしてやる』という一言だけは、言えなかった。]
 98: 1630| [45] [この仕事をしている以上、いつまでも誰かと寄り添い、生き続けられるという保障はないからだ。]
 99: 1635| [47] [渡瀬]
100: 1636| [45] [（でも、もう少し俺が年を重ねて……現場を離れる時が来たら……）]
101: 1641| [47] [渡瀬]
102: 1642| [45] [（その時はこいつと……）]
103: 1693| [45] [その気持ちは、まだ彼女には伝えない。]
104: 1698| [45] [今はただ自分の胸にのみ、留めておく事にした。]
