  0:   61| [45] [それはいつとも知れない、夜の記憶。]
  1:   66| [45] [夢とも現ともつかない、時間の狭間で――]
  2:   71| [45] [渡瀬は、静かな森に寝そべっていた。]
  3:  163| [85] [　%N]
  4:  166| [45] [夜風が渡瀬の体をくすぐる。]
  5:  169| [85] [　%N]
  6:  172| [45] [かぐわしく、ふくよかな香りがした。]
  7:  175| [45] [渡瀬は胸いっぱいに、その風を吸い込む。]
  8:  178| [85] [　%N]
  9:  181| [45] [煙や埃っぽい空気ばかり吸って生きてきた彼は、]
 10:  184| [45] [清々しい空気に餓えていたのだ。]
 11:  188| [85] [　%N]
 12:  191| [45] [――空は見えない。木々が織り成す、葉の天蓋に覆われている。]
 13:  194| [45] [やがてどこかで、鳥の鳴き声が響いた。]
 14:  197| [85] [　%N]
 15:  200| [45] [（……どこで？）]
 16:  203| [85] [　%N]
 17:  206| [45] [渡瀬は立ち上がり、その鳥の居場所を探った。]
 18:  209| [45] [美しい森の中、茂みをかきわけて。]
 19:  212| [85] [　%N]
 20:  215| [45] [鳥がまた一声鳴く。]
 21:  218| [45] [そのとき茂みの中から、小さな鳥が飛び立ち、渡瀬の胸に留まった。]
 22:  222| [85] [　%N]
 23:  225| [45] [（あぁ、ここにいたのか）]
 24:  228| [85] [　%N]
 25:  231| [45] [渡瀬は傷つけないように気をつけながら、その鳥に触れた。]
 26:  234| [45] [鳥は逃げなかった。羽を休め、渡瀬のされるがままに任せている。]
 27:  237| [85] [　%N]
 28:  240| [45] [体毛は夜露に濡れ、冷たい感触がした。]
 29:  243| [45] [彼はなぜか、その鳥を強く握って殺してやりたくなったが――]
 30:  246| [85] [　%N]
 31:  249| [45] [やはりそうはせず、優しく扱った。]
 32:  253| [85] [　%N]
 33:  256| [45] [すると鳥は、静かに歌い始めた。]
 34:  259| [45] [はじめはかすかな声で。歌っているとはわからないほどに。]
 35:  262| [85] [　%N]
 36:  265| [45] [しかし徐々に鳴き声は高まり、暗い森に響き渡った。]
 37:  269| [85] [　%N]
 38:  272| [45] [――その歌に呼応するように、風が強さを増した。]
 39:  275| [45] [茂みが揺れ、渡瀬の髪がなびく。]
 40:  278| [85] [　%N]
 41:  281| [45] [彼は鳥を護ろうと、両手でそっと包み込んだ。]
 42:  285| [85] [　%N]
 43:  288| [45] [鳥は手の中で、なおも歌う。風はさらに強さを増す。]
 44:  291| [45] [その勢いに、傍にある木の皮が剥がれ、葉が落ち彼らを覆った。]
 45:  294| [85] [　%N]
 46:  297| [45] [渡瀬はもう耐えられなかった。]
 47:  300| [45] [彼の体は、風に飛ばされ、鳥と共に空を舞った。]
 48:  388| [85] [　%N]
 49:  391| [45] [葉の天蓋を抜けると、視界一杯に星空が広がった。]
 50:  394| [45] [その星々の中に、一際輝く２つの星がある。]
 51:  397| [85] [　%N]
 52:  400| [45] [渡瀬は夜空を漂いながら、それを眺めていた。]
 53:  404| [85] [　%N]
 54:  407| [45] [――やがて、鳥の歌が止んだ。]
 55:  410| [85] [　%N]
 56:  413| [45] [はっとして手を開くと、いつのまにか鳥は眠っていた。]
 57:  416| [85] [　%N]
 58:  419| [45] [渡瀬は安堵し、眠る鳥にそっと口づけした。]
