  0:   53| [45] [――穏やかな時も、やがては終わる。]
  1:   58| [45] [全ては移ろい、いつまでも同じ日々は続かない。]
  2:   63| [45] [今からちょうど１年前の、ある夜の事――]
  3:   68| [45] [渡瀬は、夢を見ていた。]
  4:  157| [45] [夢の中で渡瀬は、風見と２人寄り添って、公園を歩いていた。]
  5:  162| [45] [穏やかな風が渡瀬たちを包む。]
  6:  167| [47] [渡瀬]
  7:  168| [45] [「……」]
  8:  191| [47] [風見]
  9:  192| [45] [「……」]
 10:  197| [45] [渡瀬も風見も無言だった。]
 11:  202| [45] [だが心はとても穏やかで、何もかもが満たされていた。]
 12:  207| [45] [それはあの全てを失った夜の以後、渡瀬がずっと求めてきた、平穏だった。]
 13:  214| [45] [――だがその時、背後で気配がした。]
 14:  236| [45] [渡瀬がはっとして振り返ると……]
 15:  291| [47] [渡瀬]
 16:  294| [45] [「……！」]
 17:  299| [45] [そこには、亘が立っていた。]
 18:  304| [45] [彼女は何も言わず、渡瀬を見つめている。]
 19:  309| [45] [渡瀬の胸に、懐かしさが湧き上がった。]
 20:  317| [47] [渡瀬]
 21:  320| [45] [「亘、久しぶりだな……！」]
 22:  328| [47] [渡瀬]
 23:  331| [45] [「俺たちを祝福しにきてくれたのか？」]
 24:  354| [45] [そう思うと、亘は静かに首を振った。]
 25:  362| [47] [渡瀬]
 26:  365| [45] [「え？　じゃあどうして――」]
 27:  370| [45] [そう問いを重ねようとした時。]
 28:  375| [45] [不意に頭上で音がした。]
 29:  497| [47] [渡瀬]
 30:  500| [45] [「ッ！！」]
 31:  505| [45] [はっとして見上げると、青空に亀裂が入っていた。]
 32:  525| [45] [亀裂は一瞬にして拡がり、天蓋が大きくたわむ。]
 33:  530| [47] [渡瀬]
 34:  531| [45] [（崩れる！？）]
 35:  576| [45] [渡瀬がそう思った瞬間、空は崩れ落ち――]
 36:  659| [45] [そして亘を、押し潰した。]
 37:  747| [47] [渡瀬]
 38:  750| [45] [「うあああああっ！」]
 39:  755| [45] [渡瀬は絶叫して、跳ね起きた。]
 40:  763| [47] [風見]
 41:  766| [45] [「っ！」]
 42:  771| [45] [隣で寝ていた風見が、渡瀬の声で目を覚ます。]
 43:  779| [47] [風見]
 44:  782| [45] [「ど、どうしたの渡瀬！？」]
 45:  790| [47] [渡瀬]
 46:  793| [45] [「あ、い、いや……なんでもない……」]
 47:  801| [47] [渡瀬]
 48:  804| [45] [「ちょっと悪い夢を見ただけだ……」]
