  0:   64| [45] [――２０２１年、４月７日。]
  1:   69| [45] [仕事からの帰り道を、風見は足早に歩いていた。]
  2:  104| [47] [風見]
  3:  105| [45] [（遅くなってしまったわ。急がないと）]
  4:  110| [45] [明日は凪沙の、小学校の入学式なのだ。]
  5:  115| [45] [前日くらいは一緒にゆっくり過ごし、明日の準備などもしてやりたい。]
  6:  120| [47] [風見]
  7:  121| [45] [（明日は休みを取ったし、入学をお祝いしたいわね）]
  8:  126| [47] [風見]
  9:  127| [45] [（そうだわ、せっかくだから洵ちゃんも呼んで……）]
 10:  132| [45] [そう思った時――]
 11:  146| [45] [消防車がサイレンを鳴らして、風見を追い越して行った。]
 12:  153| [47] [風見]
 13:  154| [45] [（……？）]
 14:  159| [47] [風見]
 15:  160| [45] [（何か、あったのかしら……）]
 16:  165| [45] [不意に胸騒ぎがした。]
 17:  170| [45] [風見は行く手の空に目をやり、そして気付く。]
 18:  175| [45] [――風見と凪沙が住む団地の方角の空に、煙が一筋たなびいているのを。]
 19:  181| [47] [風見]
 20:  184| [45] [「え……！？」]
 21:  195| [45] [風見は思わず駆け出した。]
 22:  200| [45] [凪沙が助けを求める声が聞こえた気がしたのだ。]
 23:  246| [45] [そして、そこで彼女が見たのは――]
 24:  325| [45] [――団地から煙が上がり、崩壊しかけている光景だった。]
 25:  330| [47] [風見]
 26:  333| [45] [「あ、あ、あああ……」]
 27:  338| [47] [風見]
 28:  341| [45] [「嘘よ、嫌、なにこれ……！！」]
 29:  346| [45] [目の前にあるものが信じられなかった。]
 30:  351| [45] [消防隊が駆け回り、野次馬が辺りに殺到し、ガヤガヤと騒いでいる。]
 31:  356| [47] [野次馬１]
 32:  359| [45] [「えれぇこったな、何が起きたんだこりゃ！？」]
 33:  364| [47] [野次馬２]
 34:  367| [45] [「ガス爆発だってよ！　あーあ、こりゃ中にいた人ヤバいぜ」]
 35:  372| [45] [彼らが言う通り、団地は橘家のある３階部分が崩れかけ――]
 36:  377| [47] [風見]
 37:  380| [45] [「あ、あぁ……凪沙、凪沙……！」]
 38:  385| [45] [風見はよろよろと、団地に向かって歩き出した。]
 39:  448| [45] [歩き慣れた廊下が傾いている。]
 40:  455| [45] [一歩歩くごとに、天井からパラパラと何かが落ちてくる。]
 41:  460| [45] [それでも３階を目指して、階段を登ろうとした時、]
 42:  465| [47] [？？]
 43:  468| [45] [「君、何をしてるんだ！？」]
 44:  473| [45] [階上から声が聞こえた。]
 45:  478| [47] [風見]
 46:  481| [45] [「！？」]
 47:  504| [45] [視線を移すと、オレンジ色の服を着た男が立っていた。]
 48:  509| [47] [風見]
 49:  512| [45] [「あ、あなたは……」]
 50:  538| [47] [渡瀬]
 51:  541| [45] [「レスキュー隊です。団地内の人命救助に当たってます。中に家族の方でも？」]
 52:  546| [47] [風見]
 53:  549| [45] [「い、妹がいるんです！　助けてあげて下さい！　３０３号室に――！」]
 54:  557| [47] [渡瀬]
 55:  560| [45] [「ちょうどその部屋に向かうところです」]
 56:  614| [47] [渡瀬]
 57:  617| [45] [「大丈夫です、妹さんは必ず我々が助けます！　あなたは危険ですから、外にいて下さい」]
 58:  622| [47] [風見]
 59:  625| [45] [「は……はい！」]
 60:  630| [45] [男の冷静な口調に、頼れそうな感触があった。]
 61:  635| [45] [風見は迷いつつもうなずき、そして団地の外に出た。]
 62:  732| [45] [――そして男は、風見に約束した通り、凪沙を救助してくれた。]
 63:  737| [45] [一緒に居合わせて、爆発に巻き込まれた洵も一緒に。]
 64:  742| [45] [凪沙と洵は救急車で運ばれ、風見もそれに着いていった。]
 65:  809| [45] [だが、事態はそれで終わらなかった。]
 66:  814| [45] [病院で検査した結果、凪沙は爆発の際に頭を打っており、脳内出血を起こしていると診断されたのだ。]
 67:  819| [45] [それから丸一日に渡り、集中治療が行われている間、風見は一睡もせずに凪沙の生還を待った。]
 68:  830| [45] [そして、４月８日の夜中――]
 69:  835| [45] [凪沙の治療を行っていた医者が、治療室から出てきた。]
 70:  840| [47] [風見]
 71:  843| [45] [「お医者様！　凪沙は、妹は！？」]
 72:  848| [45] [そうわめく風見に、医者が沈痛な面持ちで言う。]
 73:  853| [47] [医者]
 74:  856| [45] [「お気の毒ですが……！」]
 75:  867| [47] [風見]
 76:  870| [45] [「――……っ」]
 77:  875| [45] [風見はその瞬間、世界が崩れる音を聞いた気がした。]
 78:  920| [45] [――その後の事を、風見はよく覚えていない。]
 79:  925| [45] [彼女は凪沙を失った事を、受け入れられず……]
 80:  930| [45] [しばらくの間、精神を失調してしまったのだ。]
 81: 1023| [45] [風見は街を歩きながら呟く。]
 82: 1061| [47] [風見]
 83: 1064| [45] [「凪沙……ねぇ、どこにいるの……？」]
 84: 1100| [47] [風見]
 85: 1103| [45] [「そろそろごはんの時間よ……一緒に帰りましょう」]
 86: 1111| [47] [風見]
 87: 1114| [45] [「私たちの住む家、鹿鳴市営団地に……」]
 88: 1119| [45] [もういなくなってしまった妹と、もう無くなってしまった家に帰ろうと、風見は街をさまよう。]
 89: 1124| [45] [それは夢の中の出来事のように、現実感がない。時間の感覚も曖昧だ。]
 90: 1169| [45] [その時期、風見は団地の管理組合が与えてくれた仮住居に、寝泊りしていた。]
 91: 1174| [45] [そこには誰かが何度か訪ねてきたようだが、それさえもよくわからない。]
 92: 1179| [45] [恐らく管理組合の誰かが謝罪しに来たんだろう。]
 93: 1184| [45] [何度も謝るような声が聞こえた気がした。]
 94: 1189| [45] [だがそれもこれも、全てどうでもいい。客は全て追い返す。]
 95: 1194| [45] [そして毎日街を歩き回っては、その仮住居に帰るだけの生活。]
 96: 1199| [45] [仕事もせず、食事もろくにとらず、ただ失われたものを探し続けるだけの日々――]
 97: 1285| [45] [――そこから彼女を現実に引き戻したのは、洵だった。]
 98: 1290| [45] [ある日、久しぶりに訪れた公園で、風見は洵に会った。]
 99: 1320| [47] [風見]
100: 1323| [45] [「あら、洵ちゃん……凪沙、見なかった？」]
101: 1328| [45] [そう尋ねると、彼女は――涙を浮かべて言ったのだ。]
102: 1354| [47] [洵]
103: 1357| [45] [「もういい！　もういいんだよ風見ちゃん！」]
104: 1365| [47] [洵]
105: 1368| [45] [「探しても無駄なんだよ……！　どんなに探したって、凪沙はもういないの！」]
106: 1373| [47] [風見]
107: 1376| [45] [「な……何を言ってるの……？」]
108: 1384| [47] [洵]
109: 1387| [45] [「死んじゃったんだよ、凪沙は！　あのときの爆発事故で、頭を打って！」]
110: 1392| [45] [―― 一瞬、何を言われたかわからなかった。]
111: 1397| [45] [だがその言葉が風見の心に突き刺さり――]
112: 1402| [45] [頭にかかった靄を、晴らした。]
113: 1407| [47] [風見]
114: 1408| [45] [（ああ……）]
115: 1460| [45] [剥落した現実が、徐々に脳裏に蘇る。]
116: 1465| [45] [曖昧な感覚の中に埋没していた記憶が、思い返される。]
117: 1470| [45] [――街外れの小さな葬儀場。]
118: 1475| [45] [読経の声。]
119: 1480| [45] [参列者のほとんどいない中、それでも来てくれた洵。]
120: 1485| [45] [申し訳なさそうに風見を見つめる、凪沙を救助したレスキュー隊員。]
121: 1490| [45] [そして、棺の中で眠る凪沙――。]
122: 1535| [45] [……あれから何日経つのだろう。]
123: 1540| [45] [少しずつあの日の事が、心に染み入ってきた。]
124: 1612| [47] [風見]
125: 1615| [45] [「そう……」]
126: 1620| [47] [風見]
127: 1623| [45] [「あの子は……死んだのね……」]
128: 1628| [45] [風見もようやく、現実を認めた。]
129: 1633| [45] [そして再び気付かされた。自分が失ったものの大きさに。]
130: 1638| [45] [――とうとう、１人になってしまった。]
131: 1643| [45] [ずっと２人きりで暮らしてきた、たった１人の妹を失ってしまったのだ。]
132: 1648| [45] [凪沙のいないこれからの日々を、自分はどう生きればいいのだろう？]
133: 1653| [45] [風見がそう思った時――洵が意を決したように言う。]
134: 1679| [47] [洵]
135: 1682| [45] [「――風見ちゃん」]
136: 1690| [47] [洵]
137: 1693| [45] [「風見ちゃんを１人にはさせないよ」]
138: 1701| [47] [洵]
139: 1704| [45] [「あたしが凪沙の代わりに――風見ちゃんの、妹になるから」]
140: 1709| [47] [風見]
141: 1712| [45] [「え……？」]
142: 1738| [47] [洵]
143: 1741| [45] [「凪沙とは全然違う、かわいくない子だけど……あたし、お姉ちゃんの妹になるから……」]
144: 1767| [47] [洵]
145: 1770| [45] [「だから……」]
146: 1775| [47] [風見]
147: 1778| [45] [「洵ちゃん……あなた……」]
148: 1783| [45] [その言葉を聞き、風見は悟った。]
149: 1788| [45] [悲しんでいるのは、自分だけではないと。]
150: 1793| [45] [風見以外にも、凪沙の死を悼んでくれる子がいたと。]
151: 1798| [45] [そして風見は、そのたった１人の女の子に――悲しい想いをさせてしまったのだ。]
152: 1804| [47] [風見]
153: 1805| [45] [（……私は、１人じゃない……）]
154: 1810| [47] [風見]
155: 1811| [45] [（同じ悲しみを分かち合えるこの子が、いてくれたんだから……）]
156: 1816| [45] [赤の他人である洵が、年端も行かない彼女が、自分にかけてくれた優しさ――]
157: 1821| [45] [それが凪沙の優しさと重なった。]
158: 1845| [45] [風見は洵を、そっと抱きしめて言う。]
159: 1850| [47] [風見]
160: 1853| [45] [「……ありがとう」]
161: 1981| [45] [――そして洵と別れた後、風見は仮住宅に帰った。]
162: 1986| [45] [恐らく室内は荒れ果てているだろう。]
163: 1991| [45] [それさえもわからないほど、日々をぼんやりと過ごしていたのだ。]
164: 1996| [47] [風見]
165: 1997| [45] [（帰ったら、まず片づけを……）]
166: 2002| [45] [そう思いつつ、家のドアに歩み寄り――]
167: 2007| [45] [そこで風見は立ち止まった。]
168: 2012| [47] [風見]
169: 2015| [45] [「……？」]
170: 2020| [45] [ポストに、封筒が差さっているのに気付いたのだ。]
171: 2025| [45] [抜き出してみると、差出人は『鹿鳴市消防局』となっている。]
172: 2030| [47] [風見]
173: 2033| [45] [「なにかしら……？」]
174: 2038| [45] [風見はその封筒を、そっと開けた。]
175: 2043| [45] [中にぐしゃぐしゃに潰れた小さな箱と、手紙が入っている。]
176: 2048| [45] [手紙には硬い字で、こう書かれていた。]
177: 2087| [45] [――橘風見様]
178: 2091| [85] [　]
179: 2094| [45] [先日は失礼致しました。]
180: 2098| [45] [妹御・凪沙様が身罷られた事、心中謹んでお察し申し上げます。]
181: 2102| [85] [　]
182: 2105| [45] [たびたびの日参、大変ご迷惑をおかけ致しました。]
183: 2109| [45] [風見様の心労を鑑み、もう御宅を訪ねる事は致しません。]
184: 2113| [85] [　]
185: 2116| [45] [しかし、非礼は重々承知ですが……]
186: 2120| [45] [凪沙様が救助された時、手に握り締めていたものを、お送りさせて頂きます。]
187: 2128| [85] [　%N]
188: 2131| [45] [救急車にお乗り頂く前に、私たちが凪沙様から預かっていたものです。]
189: 2139| [85] [　]
190: 2142| [45] [中身は見ておりません。]
191: 2146| [45] [風見様にお渡しするようにのみ、頼まれておりました。]
192: 2150| [85] [　]
193: 2153| [45] [どうかお気を落とさず、今後の日々を、心安らかにお過ごし願えればと思います。]
194: 2160| [85] [　%N]
195: 2163| [45] [最後に、何度も申し上げましたが――]
196: 2167| [45] [大切な妹様を救えず、まことに申し訳ございませんでした。]
197: 2171| [85] [　]
198: 2174| [45] [ですが私たちは、これからも、この仕事を続けていきます。]
199: 2178| [45] [それが凪沙様のために、私たちができる唯一の事だからです。]
200: 2182| [85] [　]
201: 2185| [45] [――鹿鳴市消防局　特別高度救助隊　隊員　笠鷺渡瀬・堂島誠二]
202: 2211| [47] [風見]
203: 2214| [45] [「え？　え……？」]
204: 2219| [45] [風見はその名前に、見覚えがなかった。]
205: 2224| [47] [風見]
206: 2227| [45] [「何度も訪ねてきたって……？　どういう事なの？」]
207: 2232| [45] [そう言えば曖昧な日々を過ごしていた間、誰かが何度も家を訪ね、謝っていた気がした。]
208: 2237| [47] [風見]
209: 2238| [45] [（あれは……この消防士さんたちだったの？）]
210: 2243| [47] [風見]
211: 2244| [45] [（私、この人たちを、追い返してしまったの……！？）]
212: 2249| [45] [その時の記憶が飛んでいる。]
213: 2254| [47] [風見]
214: 2255| [45] [（『凪沙が救助された時、手に握り締めていたもの』って……！）]
215: 2260| [45] [混乱しながらも風見は、封筒の中に入っていた箱を見た。]
216: 2265| [45] [リボンのかけられた小さな箱。]
217: 2270| [45] [贈り物を入れる箱のように見えた。]
218: 2281| [45] [そっとリボンを取り、箱を開けると――]
219: 2398| [45] [中には、小さな首飾りが入っていた。]
220: 2403| [47] [風見]
221: 2406| [45] [「……！？」]
222: 2417| [45] [首飾りは、中に写真を入れられる、ロケットのようだった。]
223: 2422| [45] [それにも小さな手紙が添えてある。]
224: 2427| [45] [手紙には、凪沙の字でこう書いてあった。]
225: 2471| [45] [おねえちゃんへ]
226: 2475| [85] [　]
227: 2478| [45] [いつもおいしいおりょうりをつくってくれて、ありがとう。]
228: 2482| [45] [おれいに、わたしとじゅんちゃんからプレゼントです。]
229: 2486| [85] [　]
