  0:   64| [45] [――シリウスの一員となってから、毎日は飛ぶように過ぎていった。]
  1:   69| [45] [レスキュー隊員としての生活は、風見に確かな充実を与えた。]
  2:   74| [45] [最初は仕事の仕方を巡って揉めた渡瀬とも和解し、やがて彼を、心から尊敬するに至っていた。]
  3:   79| [45] [もっともたまには、意見が食い違う事もある。]
  4:   84| [45] [仕事への取り組み方や、心構え。]
  5:   89| [45] [そして――ＢＣについての考え方など。]
  6:   94| [45] [何かの会話の拍子に、彼はこう言ったのだ。]
  7:  186| [47] [渡瀬]
  8:  189| [45] [「ＢＣか……正直、あまり好きではないな」]
  9:  194| [47] [風見]
 10:  197| [45] [「えっ……」]
 11:  202| [45] [渡瀬はＢＣ嫌いらしかった。理由を尋ねると、彼は答える。]
 12:  274| [47] [渡瀬]
 13:  277| [45] [「ガキの頃、初めてＢＣの話を聞いた時からそうなんだが……」]
 14:  285| [47] [渡瀬]
 15:  288| [45] [「やはり自分の心を読まれたりするのは、正直怖い」]
 16:  293| [45] [それは渡瀬の年代の者にとっては珍しくないが、理由はそれだけではなさそうだった。]
 17:  298| [45] [渡瀬は他人に対し、やや壁を作るようなところがある。]
 18:  303| [45] [かつて火災で両親と姉を一時に失った事が、何か関係しているのかもしれない。]
 19:  387| [47] [風見]
 20:  390| [45] [「隊長……ひとつお聞きしてもよろしいでしょうか？」]
 21:  416| [47] [渡瀬]
 22:  419| [45] [「ん、なんだ？」]
 23:  424| [47] [風見]
 24:  427| [45] [「もしですよ。もし隊長の周りに、コミュニケーターがいたとしたら……どう思われますか？」]
 25:  453| [47] [渡瀬]
 26:  456| [45] [「どう思うかって……うーむ、場合によりけりだな」]
 27:  482| [47] [渡瀬]
 28:  485| [45] [「例えばそいつがエンパシーを使えるのに、それを俺には隠してたりしたら、ちょっと不気味に思うかもしれないな」]
 29:  490| [47] [風見]
 30:  493| [45] [「そう、ですか……」]
 31:  519| [47] [渡瀬]
 32:  522| [45] [「どうした橘、ひょっとしてエンパシー使えるのか？」]
 33:  527| [47] [風見]
 34:  530| [45] [「あ、いえ！　そんな事はないですけど……」]
 35:  556| [47] [渡瀬]
 36:  559| [45] [「なんだ、それは残念だな」]
 37:  564| [47] [風見]
 38:  567| [45] [「え？」]
 39:  593| [47] [渡瀬]
 40:  596| [45] [「いやホラ、隊にエンパシー使える奴がいたら便利じゃないか。人命検索の時とか」]
 41:  604| [47] [渡瀬]
 42:  607| [45] [「電波カメラやサーモグラフィなしでも、暗闇の中に人がいるかどうか確認できそうだ」]
 43:  612| [47] [風見]
 44:  615| [45] [「で、でも隊長、ＢＣはあまり好きではないのでは？」]
 45:  641| [47] [渡瀬]
 46:  644| [45] [「仕事は別だよ。仕事以外じゃやめて欲しいがな」]
 47:  649| [45] [渡瀬はそう言って笑った。]
 48:  682| [47] [風見]
 49:  683| [45] [（冗談だとは思うけど……ＢＣがあまり好きではないのは、本当みたいね）]
 50:  688| [47] [風見]
 51:  689| [45] [（私に適性度があるという事も、隠しておいた方が良さそう……）]
 52:  694| [45] [もっとも入隊する時に、遺伝子検査は受けているので、適性度Ｄである事は資料を見ればわかるだろう。]
 53:  699| [45] [渡瀬もすでに知っているかもしれない。だが風見は聞かれなければ、特に答えない事にした。]
 54:  704| [45] [もしこんな事で、渡瀬との関係がギクシャクしてしまったら嫌だと思ったのだ。]
 55:  712| [45] [いずれにせよ風見は、ＢＣの話題を避けるようにした。]
 56:  717| [47] [風見]
 57:  718| [45] [（私に適性度があるという事も、隠しておいた方が良さそうね……）]
 58:  723| [45] [風見はその事についてだけは、渡瀬にも言わなかった。]
 59:  813| [45] [そうして日々は大過なく過ぎていく。]
 60:  818| [45] [妹を失ってできた心の空白も、仕事を通じて、徐々に埋まっていった。]
 61:  869| [45] [やがて自分を慕ってくれる洵も、風見の後を追うように、シリウスを目指すと言い出した。]
 62:  874| [45] [こればかりは風見も大反対したが――洵の決意の固さに、やがては風見も折れた。]
 63:  879| [45] [そして現在のメンバーが揃ったのだ。]
 64:  947| [45] [――そして風見がシリウスに入隊してから、３年半が過ぎたある日。]
 65:  952| [45] [９月１６日、早朝。夜勤の終わりが近づいてきた頃――]
 66:  963| [45] [出場サイレンが、けたたましく鳴り響いた。]
 67:  968| [45] [『原子力生物学機構第６研究所で、原因不明の爆発事故発生』]
 68:  973| [45] [その不吉な通報と共に――]
 69:  979| [45] [風見の人生で一番長い日が、幕を開けた。]
 70: 1088| [45] [通報を受けた風見たちは、ヘリで現場に急行した。]
 71: 1163| [45] [ラボのエントランスに並ぶ隊員たちに、渡瀬が檄を飛ばす。]
 72: 1168| [47] [渡瀬]
 73: 1171| [45] [「現在このラボの中には、無数の人が取り残されている！」]
 74: 1176| [47] [渡瀬]
 75: 1179| [45] [「そして、施設の性質上――これは通常の出場ではない」]
 76: 1184| [47] [渡瀬]
 77: 1187| [45] [「この現場ではなにが起こるかわからない。どんな不測の事態もだ」]
 78: 1192| [47] [風見]
 79: 1193| [45] [（確かに今回の事故は、普通じゃないわ。だけど――）]
 80: 1198| [45] [渡瀬が率いるこの隊であれば、それもきっと乗り越えられると思っていた。]
 81: 1203| [45] [この３年半の間に、風見は幾度となく渡瀬に助けられた。]
 82: 1208| [45] [その凄まじいまでの実力を、風見は心から信望し、英雄視さえしていた。]
 83: 1213| [45] [――そして風見もまた、渡瀬を何度か助けた。]
 84: 1218| [45] [先輩である堂島と桧山も、非常に頼れる男だ。]
 85: 1223| [45] [気になるのは、入隊したての洵の事だが、彼女の心の強さを風見は信じている。]
 86: 1228| [47] [風見]
 87: 1229| [45] [（今回もいつも通りに、可能な限り人を助けて、そして全員生きて帰る）]
 88: 1234| [47] [風見]
 89: 1235| [45] [（それが私たちの仕事……！）]
 90: 1307| [45] [風見はそう決意を固め、仲間たちと共にラボ内に突入した。]
 91: 1314| [45] [――風見は洵と組み、地上フロアの捜索を行った。]
 92: 1319| [45] [空気ボンベ・ロープ・エンジンカッターなど、最低限の装備を身につけて。]
 93: 1324| [45] [だが担当区域を捜索しているさなか、渡瀬・堂島・桧山との通信が断絶した。]
 94: 1329| [45] [理由はわからないが、渡瀬たちは地下に降りたらしい。さらに風見たちも要救助者を発見し、地下に降りる。]
 95: 1334| [45] [だが要救助者を見失い、さらに防護服を破損させてしまい……]
 96: 1345| [45] [果ては『ケースＮ』が発令され、風見たちは地下に閉じ込められてしまった。]
 97: 1405| [47] [自動放送]
 98: 1408| [45] [「――ただいま、『ケースＮ』が発生しました」]
 99: 1413| [47] [自動放送]
100: 1416| [45] [「緊急事態につき、セキュリティを『封鎖モード』に移行」]
101: 1421| [47] [自動放送]
102: 1424| [45] [「施設内の全ゲートを閉鎖・ロックすると共に、隔壁を封鎖します」]
103: 1541| [45] [だが風見はそれでも諦めず、人命救助を続行する。]
104: 1564| [45] [今では彼女にとって、もう１人の妹となった、洵と力を合わせて。]
105: 1630| [45] [――それから風見たちは、レベル２のセキュリティカードを２枚見つけた。]
106: 1635| [45] [それを使い、施設内の消火をしながら、脱出口と要救助者を探す。]
107: 1640| [45] [だがそのどちらも見つからないまま、第２エリア、第１エリアの捜索を終えようとした時――]
108: 1706| [47] [洵]
109: 1709| [45] [「……あ！　あれは――」]
110: 1714| [47] [風見]
111: 1717| [45] [「まさか、隊長！？」]
112: 1722| [45] [第１エリアの廊下で、倒れている渡瀬と再会した。]
113: 1728| [45] [３人のレスキュー隊員の奮闘が始まる……。]
114: 1984| [45] [――記憶を遡っていくうちに――]
115: 1989| [45] [風見の心の中で、渡瀬への想いが、より大きくなっていった。]
116: 1994| [45] [そしてそれと共に、やがて……]
117: 1999| [45] [風見自身が、恥ずかしくて思い出したくない記憶が１つ、心の奥底から湧き上がってきた。]
