  0:  166| [47] [凪沙]
  1:  169| [45] [「……」]
  2:  195| [47] [凪沙]
  3:  198| [45] [「……ん？」]
  4:  206| [47] [凪沙]
  5:  209| [45] [「なんだ、こんなところまで来たのかい？」]
  6:  214| [45] [彼女はそう言って、こちらを見た。]
  7:  240| [47] [凪沙]
  8:  243| [45] [「よほどぼくらの事を深く知りたかったんだな……照れくさいけど、嬉しいよ」]
  9:  251| [47] [凪沙]
 10:  254| [45] [「じゃあせっかく来てくれたんだ。少し話そうか」]
 11:  290| [47] [凪沙]
 12:  293| [45] [「……なんだ、何が起きてるかわからないって顔だね？」]
 13:  301| [47] [凪沙]
 14:  304| [45] [「『夏彦の部屋に、彼女がいる』なんて、こんな記憶はあるわけがない……そう思うかな」]
 15:  312| [47] [凪沙]
 16:  315| [45] [「その通り、これは普通の記憶じゃない。じゃあなんだと思う？」]
 17:  323| [47] [凪沙]
 18:  326| [45] [「『被験体Ｎが使った、ＢＣエネルギーの残滓』……？」]
 19:  334| [47] [凪沙]
 20:  337| [45] [「『夏彦の心に残された悪意』……？」]
 21:  345| [47] [凪沙]
 22:  348| [45] [「『夏彦自身が頭の中で捏造した、ありもしない記憶』……？」]
 23:  374| [47] [凪沙]
 24:  377| [45] [「そのどれもが、残念ながら外れさ。もちろん夏彦は悪意に感染していないし、そんなに込み入った出来事じゃない」]
 25:  385| [47] [凪沙]
 26:  388| [45] [「とはいえ、ぼくにも説明が難しいんだけど……」]
 27:  396| [47] [凪沙]
 28:  399| [45] [「まぁ、要はあれかな。『この子』と同じようなものだよ」]
 29:  404| [45] [彼女がそう言った時、その傍らに、別の人影が現れた。]
 30:  444| [47] [？？]
 31:  447| [45] [「あ……久しぶりだね？　また会えるとは思わなかったよ」]
 32:  455| [47] [凪沙]
 33:  458| [45] [「この子は琴乃悠里。でも悠里本人じゃない」]
 34:  466| [47] [凪沙]
 35:  469| [45] [「悠里のＢＣによって生み出され、そして夏彦の心の中に息づいた……夏彦を９年間支えてくれた、あの『幻』だよ」]
 36:  495| [47] [？？]
 37:  498| [45] [「わたしの役目は果たしたからね……ひこりんの前からは、姿を消したの」]
 38:  524| [47] [？？]
 39:  527| [45] [「あとは、もう１人のわたしがいるから大丈夫。ましろんやサリュちゃんや、博士や皆もいるしね」]
 40:  553| [47] [凪沙]
 41:  556| [45] [「……夏彦に代わって、もう１度お礼を言うよ。９年間、本当にありがとう」]
 42:  582| [47] [？？]
 43:  585| [45] [「うぅん、どういたしまして。それじゃ、ひこりんたちによろしくね」]
 44:  618| [45] [幻はそう言って、その部屋を出て行った。]
 45:  623| [45] [後には彼女だけが残される。]
 46:  631| [47] [凪沙]
 47:  634| [45] [「……また、いなくなってしまったな。でも彼女は消滅したわけじゃない」]
 48:  642| [47] [凪沙]
 49:  645| [45] [「姿は見えなくても、これからも夏彦の心の奥底で生き続けていく。ぼくと同じにね」]
 50:  653| [47] [凪沙]
 51:  656| [45] [「でもこれは、ぼくらがコミュニケーターだから起きた、特別な出来事というわけじゃないよ」]
 52:  664| [47] [凪沙]
 53:  667| [45] [「人と人が触れ合えば、それだけで起こり得る、普通の出来事なんだよ」]
 54:  720| [47] [凪沙]
 55:  723| [45] [「――人はそれぞれ、別々の世界を頭の中に持っている。８０億の人間がいれば、８０億の世界がある」]
 56:  731| [47] [凪沙]
 57:  734| [45] [「そして君が頭の中に創りあげた『世界』には、君が触れ合った人々が住んでいる。『記憶』と言う形でね」]
 58:  742| [47] [凪沙]
 59:  745| [45] [「『あらゆるエネルギーは、触れ合えば入り混じる』……人の想いも同じさ」]
 60:  753| [47] [凪沙]
 61:  756| [45] [「君が出会い、知り合った人々は、君の中で生きているんだ」]
 62:  764| [47] [凪沙]
 63:  767| [45] [「仮にその人を亡くしたとしても、お別れしてしまっても……君の中にその人たちは、確かにいるんだよ」]
 64:  833| [47] [凪沙]
 65:  836| [45] [「たとえば、ましろ」]
 66:  844| [47] [凪沙]
 67:  847| [45] [「これまで君は、センシズシンパシーを用いて、ましろの想いに触れてきただろ？」]
 68:  855| [47] [凪沙]
 69:  858| [45] [「それは程度の差はあれど、君の心の中に、何かを残したはずだ」]
 70:  866| [47] [凪沙]
 71:  869| [45] [「夏彦の心の中に、こうしてましろがいるように、君の心の中にも、ましろがいるんだよ」]
 72:  950| [47] [凪沙]
 73:  953| [45] [「あるいはサリュや、先生も。２人の事を深く知る前とは別の形で、彼女たちはいま、君の中にいる」]
 74: 1034| [47] [凪沙]
 75: 1037| [45] [「橘さんと洵さんは？　彼女たちの恐ろしい面も愛すべき面も、全てひっくるめて、君は心に納めたんじゃないかな？」]
 76: 1118| [47] [凪沙]
 77: 1121| [45] [「母さんと宇喜多のおじさんもだね。母さんと会話を重ねるほど、おじさんの心を知るほど、２人への印象は変わったと思う」]
 78: 1202| [47] [凪沙]
 79: 1205| [45] [「そして、渡瀬と……そして渡瀬の心の中にいた、亘さんも」]
 80: 1213| [47] [凪沙]
 81: 1216| [45] [「渡瀬への印象は、変わり続けただろう。いま君が渡瀬に対し、どんな印象を持っているのかは、想像できないけどね」]
 82: 1309| [47] [凪沙]
 83: 1312| [45] [「そして、夏彦の事も……凪沙や、ぼくの事もね」]
 84: 1364| [47] [凪沙]
 85: 1367| [45] [「……夏彦はこれらの人々を、全て心の中に納めている。彼らと触れ合った分だけ、その想いを受け取るように」]
 86: 1419| [47] [凪沙]
 87: 1422| [45] [「君もまた、ここまで９人の記憶を巡る旅を続け、その想いを受け取ってきた」]
 88: 1430| [47] [凪沙]
 89: 1433| [45] [「そうして君の心の中に、皆の想いは伝わり……そこで息づくんだ」]
 90: 1500| [47] [凪沙]
 91: 1503| [45] [「ぼくとしても、それは嬉しい事だけど……」]
 92: 1511| [47] [凪沙]
 93: 1514| [45] [「残念ながら、もうじきお別れだ」]
 94: 1522| [47] [凪沙]
 95: 1525| [45] [「あらゆるエネルギーは、いつしか散逸する。もうこれ以上、皆の記憶に干渉する事は……恐らくほとんどできないだろう」]
 96: 1533| [47] [凪沙]
 97: 1536| [45] [「ほんの短い時、心が触れ合い、かすかに繋がった……そんな頼りない通信だったんだ」]
 98: 1590| [47] [凪沙]
 99: 1593| [45] [「……そんな寂しそうにするなよ。だからと言って、これが永遠の別れというわけじゃないんだ」]
100: 1601| [47] [凪沙]
101: 1604| [45] [「君が覚えていてくれる限り、ぼくらは君の記憶の中に生きているさ」]
102: 1630| [47] [凪沙]
103: 1633| [45] [「ほら、凪沙も言っていただろ？」]
104: 1659| [47] [凪沙]
105: 1662| [45] [「――『思い出せば、いつでも会える』ってね」]
