  0:   53| [45] [――ともかく鹿鳴学園の教師『恵那』を救助した洵たちは――]
  1:  121| [45] [さらに第３エリアの監視ルームで、研究員の『宇喜多』に遭遇した。]
  2:  172| [45] [そして知り合いの高校生『夏彦』たちも、この施設に閉じ込められている事を知り……]
  3:  177| [45] [彼らの捜索に向かった。]
  4:  182| [45] [限られたＡＤ。上昇していく放射線量。脱出口は見つからず、状況は極めて厳しい。]
  5:  230| [45] [こんな時こそ、チームワークが何よりも重要なのに――]
  6:  235| [45] [そのチームワークを乱す者がいた。]
  7:  325| [47] [恵那]
  8:  328| [45] [「なによ、煙くらい！　レスキューがヘタれてんじゃないわよ！」]
  9:  333| [45] [それはやはり、恵那だった。]
 10:  338| [45] [外周棟に煙が漂っているのを見て、捜索を中断した洵に、食って掛かってきたのだ。]
 11:  343| [45] [彼女は生徒たちを心配するあまり、捜索を急ごうとしているのだ。]
 12:  348| [47] [洵]
 13:  349| [45] [（でもレスキューとして、それは認められない！）]
 14:  354| [45] [洵がそう思った時、渡瀬たちが駆けつけてきた。]
 15:  387| [47] [渡瀬]
 16:  390| [45] [「ど、どうした！？」]
 17:  423| [47] [風見]
 18:  426| [45] [「守部、なにを騒いでいるのですか！？」]
 19:  434| [47] [洵]
 20:  437| [45] [「あ、副隊長！」]
 21:  445| [47] [洵]
 22:  448| [45] [「この先の外周棟に、煙が漂ってたんだ。火の気があるっぽいんだよ」]
 23:  456| [47] [洵]
 24:  459| [45] [「でも部屋がたくさんあって火元がわからないから、椿山さんたちを安全なところで待機させようとしたんだけど――」]
 25:  485| [47] [恵那]
 26:  488| [45] [「バカ言ってんじゃないわよ！　火の気があるからこそ、全員でさっさと捜索すべきでしょう！」]
 27:  493| [45] [恵那はなおも食い下がったが、]
 28:  501| [47] [風見]
 29:  504| [45] [「死にたいんですか？」]
 30:  565| [47] [恵那]
 31:  568| [45] [「え……？」]
 32:  594| [47] [風見]
 33:  597| [45] [「死にたくなければ、黙って言う事を聞いて下さい」]
 34:  602| [45] [風見の一喝で、静かになった。]
 35:  628| [47] [恵那]
 36:  631| [45] [「……わ、私はただ、捜索を手伝おうと……」]
 37:  657| [47] [風見]
 38:  660| [45] [「言葉がきつかった事は謝ります。椿山さんのお気持ちも嬉しく思います」]
 39:  668| [47] [風見]
 40:  671| [45] [「ですが、どんな小さな火も侮ってはいけません。災害現場では我々の判断を信じて下さい」]
 41:  679| [47] [風見]
 42:  682| [45] [「我々の任務は、全員を無事にここから脱出させる事なんです。だからどうか――」]
 43:  687| [45] [硬軟取り混ぜた風見の言葉に、さすがの恵那も折れた。]
 44:  713| [47] [恵那]
 45:  716| [45] [「わかったわよ……プロにお任せするわ」]
 46:  721| [45] [それを見て洵は思う。]
 47:  728| [47] [洵]
 48:  729| [45] [（さすがお姉ちゃん……冷静にきっちり短時間で、椿山さんを説得したよ）]
 49:  734| [45] [自分も見習おう。洵は改めてそう思った。]
