  0:   61| [45] [――それは約３年前のある日。]
  1:   66| [45] [洵は、風見の様子に違和感を持ち始めていた。]
  2:  151| [45] [――その日、洵は風見と共に、街に遊びに出てきていた。]
  3:  156| [45] [だがなぜか今日の風見は、どこか上の空なのだ。]
  4:  164| [47] [洵]
  5:  167| [45] [「ねーお姉ちゃん、お昼なに食べよっか？」]
  6:  193| [47] [風見]
  7:  196| [45] [「そうね……なにがいいかしらね」]
  8:  201| [45] [話しかけても、こうして生返事が返って来るばかりである。]
  9:  206| [45] [洵はいい加減焦れて、声を上げた。]
 10:  214| [47] [洵]
 11:  217| [45] [「もう！　どうしたのお姉ちゃん！？」]
 12:  278| [47] [風見]
 13:  281| [45] [「えっ？」]
 14:  289| [47] [洵]
 15:  292| [45] [「あたし、なんかお姉ちゃん怒らせるようなことしたっけ？　言いたい事があったら言ってよ」]
 16:  318| [47] [風見]
 17:  321| [45] [「あ、いや……別に怒ったりはしてないんだけど……」]
 18:  326| [45] [風見はおどおどと口ごもった後、ぽつりと呟いた。]
 19:  352| [47] [風見]
 20:  355| [45] [「……実はちょっと、あなたに聞きたい事があって……」]
 21:  363| [47] [洵]
 22:  366| [45] [「え、なに？」]
 23:  392| [47] [風見]
 24:  395| [45] [「……洵、あなた……」]
 25:  403| [47] [風見]
 26:  406| [45] [「男の人とお付き合いしたこと、ある？」]
 27:  429| [47] [洵]
 28:  432| [45] [「えっ！？　な、なにいきなり！？」]
 29:  458| [47] [風見]
 30:  461| [45] [「あ、えっと……あなたの姉的存在として、そう言う事も知っておいた方がいいのかなって……」]
 31:  469| [47] [洵]
 32:  472| [45] [「いや、ないけど……」]
 33:  480| [47] [洵]
 34:  483| [45] [「で、でも、あたしも別にモテないわけじゃないんだよ？」]
 35:  491| [47] [洵]
 36:  494| [45] [「ラブレターもらった事もあるし、告られた事もあるし……」]
 37:  520| [47] [風見]
 38:  523| [45] [「そう……」]
 39:  528| [45] [風見はそう言って、ため息をついた。]
 40:  533| [47] [洵]
 41:  534| [45] [（な……なんだろう？）]
 42:  539| [45] [風見の口から恋愛関連の話が出るなど、めったにない事だった。]
 43:  544| [45] [雨でも降るんじゃないかと思っていると、風見が問いを重ねる。]
 44:  570| [47] [風見]
 45:  573| [45] [「じゃあ、別の質問だけど……洵、あなた、クラシック音楽に詳しい？」]
 46:  581| [47] [洵]
 47:  584| [45] [「へ？　クラシック？」]
 48:  610| [47] [風見]
