  0:   60| [45] [――レスキュー試験を、気合と根性で合格した洵は――]
  1:   65| [45] [約半年の辞令待ちを経て、ついに念願の『シリウス』入隊を果たした。]
  2:   70| [45] [それに伴い、職場もそれまでの鹿鳴市東消防署から、中央消防署に異動となった……。]
  3:  104| [45] [その、出勤初日――洵は期待に胸を膨らませていた。]
  4:  109| [47] [洵]
  5:  110| [45] [（ここが、お姉ちゃんの職場……そしてレスキューの最前線！）]
  6:  115| [45] [嬉しいのは、あこがれの制服を着られる事だけではない。]
  7:  120| [45] [ひょっとしたら、ここに『彼』がいるかもしれないからだ。]
  8:  174| [47] [洵]
  9:  175| [45] [（子供の頃、あたしを助けてくれたヒーローが……！）]
 10:  180| [45] [もう９年も前の事なので記憶は薄れているが、会えばきっとわかる気がした。]
 11:  185| [47] [洵]
 12:  186| [45] [（向こうはあたしの事、覚えてるかな……１度お礼をしたいな）]
 13:  203| [45] [そう思いながら、署内に足を踏み入れると――]
 14:  233| [45] [すぐにレスキュー隊員を、１人発見した。]
 15:  260| [47] [洵]
 16:  263| [45] [「あ、おはようございます！」]
 17:  268| [45] [洵は彼に敬礼し、挨拶する。]
 18:  276| [47] [洵]
 19:  279| [45] [「今日からシリウスに配属された、守部洵消防士ですっ！」]
 20:  287| [47] [洵]
 21:  290| [45] [「誠心誠意、人命救助のために尽力しますので、どうぞよろしくお願いします！」]
 22:  313| [45] [満点の挨拶のはずだった。]
 23:  318| [45] [……が、いつまで経ってもその隊員からの反応が無い。]
 24:  326| [47] [洵]
 25:  329| [45] [「…………？」]
 26:  334| [47] [渡瀬]
 27:  335| [45] [「…………」]
 28:  343| [47] [洵]
 29:  346| [45] [「……あ、あの～？」]
 30:  372| [47] [渡瀬]
 31:  375| [45] [「ちっ、こいつまで女だてらに……！」]
 32:  383| [47] [洵]
 33:  386| [45] [「え？」]
 34:  391| [45] [いきなりの舌打ちに、洵はきょとんとする。]
 35:  399| [47] [洵]
 36:  402| [45] [「あの、『こいつまで』とはどういう事でありますか？」]
 37:  428| [47] [渡瀬]
 38:  431| [45] [「なんでもねぇよ、こっちの話だ」]
 39:  439| [47] [洵]
 40:  442| [45] [「では『女だてらに』とは！？」]
 41:  468| [47] [渡瀬]
 42:  471| [45] [「……この命がけの仕事を、わざわざやろうとする酔狂な女が、これで２人になっちまったって事だよ」]
 43:  494| [47] [洵]
 44:  497| [45] [「なっ！？」]
 45:  523| [47] [渡瀬]
 46:  526| [45] [「まぁいい、入隊すれば女も男もない。これからたっぷりしごいてやるから、覚悟しとけ」]
 47:  546| [45] [それだけ言い、男が去って行く。]
 48:  601| [45] [あまりの出来事に呆然とし、洵は彼の背中を見送った。]
 49:  610| [47] [洵]
 50:  613| [45] [「な……なんだいあいつ！」]
 51:  618| [45] [思わず悪態をついた時、背後で声がした。]
 52:  626| [47] [風見]
 53:  629| [45] [「洵、なに１人で騒いでるの？」]
 54:  686| [47] [洵]
 55:  689| [45] [「あ、お姉ちゃん！」]
 56:  697| [47] [洵]
 57:  700| [45] [「ねぇ何なのあの人！　初対面でいきなり、『女だてらに』とか言われたよ！」]
 58:  708| [47] [洵]
 59:  711| [45] [「あたしそういうこと言われんの、大ッ嫌いなんだけど！」]
 60:  737| [47] [風見]
 61:  740| [45] [「あの人って？」]
 62:  748| [47] [洵]
 63:  751| [45] [「目つきの悪い隊員だよ！　こーんな、トカゲみたいな目をしたさっ！」]
 64:  777| [47] [風見]
 65:  780| [45] [「トカゲ……」]
 66:  806| [47] [風見]
 67:  809| [45] [「……洵、たぶんその人は……」]
 68:  835| [47] [風見]
 69:  838| [45] [「あなたが配属される、私たちの隊の隊長。笠鷺渡瀬消防司令補よ」]
 70:  861| [47] [洵]
 71:  864| [45] [「えっ！？」]
 72:  890| [47] [風見]
 73:  893| [45] [「隊長、前々からこぼしてたから……」]
 74:  901| [47] [風見]
 75:  904| [45] [「『シリウスＡチーム５名のうち、２名が女になるって、人事はなに考えてんだ』って」]
 76:  912| [47] [洵]
 77:  915| [45] [「女性蔑視だなぁ！　そんな奴が、あたしの上司になるなんて――」]
 78:  941| [47] [風見]
 79:  944| [45] [「洵、そんな奴とはなんですか！　口を慎みなさい」]
 80:  952| [47] [洵]
 81:  955| [45] [「でもな～……」]
 82:  960| [45] [納得行かず、洵は膨れる。]
 83:  965| [45] [すると風見が、途端に表情を引き締めた。]
 84:  991| [47] [風見]
 85:  994| [45] [「洵、あなたには今のうちに言っておきます」]
 86: 1002| [47] [風見]
 87: 1005| [45] [「まず、職場で私を『お姉ちゃん』と呼ぶのはやめなさい」]
 88: 1013| [47] [洵]
 89: 1016| [45] [「えっ？」]
 90: 1024| [47] [風見]
 91: 1027| [45] [「これから私はあなたの上司になります」]
 92: 1035| [47] [風見]
 93: 1038| [45] [「ケジメをつけるため、『橘消防士長』、もしくは『副隊長』と呼ぶように」]
 94: 1046| [47] [洵]
 95: 1049| [45] [「そんな急に言われても、これまでずっと――」]
 96: 1075| [47] [風見]
 97: 1078| [45] [「黙りなさい」]
 98: 1104| [47] [風見]
 99: 1107| [45] [「それと私は、職場では敬語を話します。あなたに対しても敬語を使うので、そのつもりで」]
100: 1115| [47] [洵]
101: 1118| [45] [「わっ、ホントに敬語だ」]
102: 1126| [47] [洵]
103: 1129| [45] [「も～、お姉ちゃんったら固いんだから～」]
104: 1157| [47] [風見]
105: 1160| [45] [「わ　か　り　ま　し　た　か　？」]
106: 1189| [47] [洵]
107: 1192| [45] [「っ……」]
