  0:   61| [45] [『また後でね』と天川博士が言い、病室を去ってから数時間。]
  1:   66| [45] [悠里はそこで、彼女の戻りを待っていた。]
  2:  115| [45] [だが天川博士はなかなか戻って来ず、夏彦がどうなったかもわからない。]
  3:  120| [45] [静寂の中、待ち続けていると――]
  4:  125| [45] [やがて不意に、病室の外が騒がしくなった。]
  5:  199| [45] [――それは大勢の人の足音らしかった。]
  6:  204| [45] [廊下を足早に歩き、この病室に近づいてきているようだ。]
  7:  209| [47] [悠里]
  8:  210| [45] [（え……な、なに？）]
  9:  215| [45] [足音は乱暴で荒々しく、悠里は少し怖くなった。]
 10:  222| [47] [？？]
 11:  225| [45] [「この病室の患者ですか？」]
 12:  230| [47] [？？]
 13:  233| [45] [「あぁ」]
 14:  238| [47] [？？]
 15:  241| [45] [「院長と話はついている。この病棟にも他に患者はいない。心おきなく搬出してくれ」]
 16:  246| [45] [部屋の前で何か囁くような声が聞こえる。]
 17:  261| [45] [そこにドタドタと駆け寄ってくる足音が混じり、さらにわめき声が響いた。]
 18:  269| [47] [美夜子]
 19:  272| [45] [「ちょっとあなたがた、何をしているの！」]
 20:  277| [45] [天川博士の声だった。]
 21:  284| [45] [悠里は少し安堵したが、やはり怖くて、部屋の外の様子を確かめようという気は起きなかった。]
 22:  292| [47] [美夜子]
 23:  295| [45] [「江里口さん、保安六課まで動員してなんのつもり？」]
 24:  300| [47] [江里口]
 25:  303| [45] [「上の指示ですよ」]
 26:  308| [47] [江里口]
 27:  311| [45] [「本日を以って、琴乃悠里は、当ラボの第４号被験体に登録されました」]
 28:  319| [47] [美夜子]
 29:  322| [45] [「なんですって……！」]
 30:  330| [47] [美夜子]
 31:  333| [45] [「冗談でしょう、この娘は息子の友達なのよ！」]
 32:  338| [47] [江里口]
 33:  341| [45] [「ラボの頭脳たる、天川美夜子上級研究員とも思えない発言ですな」]
 34:  346| [47] [江里口]
 35:  349| [45] [「世界中見渡しても極めて稀な、Ｓ級コミュニケーター……」]
 36:  354| [47] [江里口]
 37:  357| [45] [「それがどれほどの危険性を持つか、わからないあなたではないでしょう？」]
 38:  365| [47] [美夜子]
 39:  368| [45] [「私の息子も被験体にするつもりね！？」]
 40:  373| [47] [江里口]
 41:  376| [45] [「もちろんです」]
 42:  381| [47] [江里口]
 43:  384| [45] [「個人的感情を優先し、それを野放しにするなど、そんな身勝手が許されるわけがない」]
 44:  392| [47] [美夜子]
 45:  395| [45] [「ふざけないで！」]
 46:  403| [47] [美夜子]
 47:  406| [45] [「先日の一件といい、近頃のラボは倫理が欠落しているわ！」]
 48:  414| [47] [美夜子]
