  0:   60| [45] [――ラボに来てからの３ヶ月――]
  1:   65| [45] [実験漬けではあったが、悠里はその日々を平穏に過ごすことができた。]
  2:   94| [45] [ラボの地下には、悠里の私室が作られ、そこで悠里は寝起きしていた。]
  3:  100| [45] [新しい自分の部屋を見回し、悠里は思う。]
  4:  105| [47] [悠里]
  5:  106| [45] [（うーん、だいぶものがふえてきたなぁ……）]
  6:  111| [45] [天川博士は、悠里にできる限りの便宜を図ってくれた。]
  7:  116| [45] [悠里が望むものは全て――女の子らしい服や、たくさんの本を与えてくれたのだ。]
  8:  121| [47] [悠里]
  9:  122| [45] [（ちょっとふじゆうだけど……いままでより、ずっといいせいかつだよね）]
 10:  169| [45] [そう思っていると、部屋の扉が開いて、天川博士が入ってきた。]
 11:  177| [47] [美夜子]
 12:  180| [45] [「悠里ちゃん、実験の時間よ」]
 13:  188| [47] [悠里]
 14:  191| [45] [「あ、はーい」]
 15:  196| [45] [優しい声で言う博士に、悠里も微笑んで答えた。]
 16:  245| [45] [――天川博士曰く、本当の両親にはあの事故の直後、『悠里が火災に遭遇し、死んだ』と伝えられたらしい。]
 17:  250| [45] [悠里の両親は疑問も持たず、その説明を受け入れ、街を出て行ったのだそうだ。]
 18:  255| [45] [優しい親ではなかったから、彼らに会えなくなった事は、辛いとは思わない。]
 19:  286| [45] [代わりに天川博士が、充分な愛情を注いでくれたから、むしろ嬉しいとさえ思っていた。]
 20:  379| [45] [悠里は博士と共に、第５エリアの実験室に行った。]
 21:  387| [47] [悠里]
 22:  390| [45] [「今日はなにをやるんですか？」]
 23:  398| [47] [美夜子]
 24:  401| [45] [「昨日に続いて、記憶操作の実験よ」]
 25:  409| [47] [悠里]
 26:  412| [45] [「よーし、わたしがんばりますね」]
 27:  417| [45] [マウスを気絶させてしまった一件の後も、悠里は様々な記憶操作の練習を行っている。]
 28:  422| [45] [今日もその続きのようだったが――]
 29:  448| [47] [美夜子]
 30:  451| [45] [「さて、今日は私が対象者になるわ」]
 31:  459| [47] [悠里]
 32:  462| [45] [「え！？」]
 33:  470| [47] [美夜子]
 34:  473| [45] [「記憶操作というものを、この身で体験してみたくてね」]
 35:  481| [47] [悠里]
 36:  484| [45] [「でも、あぶなくないですか……？」]
 37:  510| [47] [美夜子]
 38:  513| [45] [「心配しないで。ほんの数秒分の記憶を消去しても、大したダメージはないはずよ」]
 39:  521| [47] [悠里]
 40:  524| [45] [「わ、わかりました……じゃあまず、記憶のしょうきょから」]
 41:  557| [45] [悠里はそう言って、紙にペンで文字を書いた。]
 42:  562| [45] [悠里は紙に『おりひめ』と書き、それを博士に見せた。]
 43:  570| [47] [悠里]
 44:  573| [45] [「それじゃはかせ、これをおぼえてください」]
 45:  599| [47] [美夜子]
 46:  602| [45] [「『おりひめ』ね。よし、覚えたわ」]
 47:  610| [47] [悠里]
 48:  613| [45] [「それじゃいきますよ、記憶のしょうきょ……！」]
 49:  639| [45] [悠里は手を伸ばし――そして博士の額に触れた。]
 50:  794| [45] [その瞬間、博士の意識が、悠里の脳内に流れ込んできた。]
 51:  799| [45] [膨大で複雑な記憶群の中から、望みの記憶を呼び出す。]
 52:  804| [47] [悠里]
 53:  805| [45] [（あ、これだね）]
 54:  954| [47] [美夜子]
 55:  957| [45] [「『おりひめ』ね。よし、覚えたわ」]
 56:  962| [45] [１０秒ほど前の場面が、天川博士の視点で展開する。]
 57:  984| [47] [悠里]
 58:  985| [45] [（この記憶、きえて……！）]
 59:  990| [45] [悠里がそう強く念じると、その部分の記憶が崩れだした。]
 60: 1100| [47] [美夜子]
 61: 1103| [45] [「『――ひめ』ね。よし、覚えたわ」]
 62: 1156| [47] [美夜子]
 63: 1159| [45] [「『――――』ね。よし、―――わ」]
 64: 1212| [47] [美夜子]
 65: 1215| [45] [「―――――』ね――――――――」]
 66: 1226| [47] [美夜子]
 67: 1227| [45] [「―――――――――――――――」]
 68: 1232| [45] [言葉が意味を成さなくなり、映像がノイズに埋もれる。]
 69: 1278| [45] [そして記憶は微塵と化し、意識の闇に消えていった。]
 70: 1484| [47] [美夜子]
 71: 1487| [45] [「うっ……！」]
 72: 1492| [45] [悠里が現実に戻ると、目の前の博士が苦しそうに呻いた。]
 73: 1500| [47] [悠里]
 74: 1503| [45] [「だ、だいじょうぶですか！」]
 75: 1529| [47] [美夜子]
 76: 1532| [45] [「ちょっと頭が痛んだわ……でも大丈夫、全く心配ないわよ」]
 77: 1537| [45] [その博士の言葉を聞いて、悠里はほっとした。]
 78: 1545| [47] [悠里]
 79: 1548| [45] [「それじゃしつもんです。さっきわたしはなんてかいたでしょう？」]
 80: 1574| [47] [美夜子]
 81: 1577| [45] [「えっ……と……？」]
 82: 1600| [45] [いつも聡明で理知的な博士が、まるでわからないという顔をした。]
 83: 1605| [45] [それが悠里にはなんだか楽しくて、おどけるように言う。]
 84: 1613| [47] [悠里]
 85: 1616| [45] [「ぶぶー、じかんぎれ。こたえは『おりひめ』ですー」]
 86: 1642| [47] [美夜子]
 87: 1645| [45] [「あ、『おりひめ』ね。よぅし、今度こそ覚えたわ」]
 88: 1653| [47] [悠里]
 89: 1656| [45] [「それじゃこんどは、きおくのそうさです」]
 90: 1682| [47] [美夜子]
 91: 1685| [45] [「はい、いつでもどうぞ」]
 92: 1693| [47] [悠里]
 93: 1696| [45] [「いきますよー」]
 94: 1748| [45] [悠里は博士と心を繋ぎたいと、強く願った。]
 95: 1906| [45] [するとまた、博士の意識が悠里の脳内に流れ込んできた。]
 96: 1911| [45] [その中から、さきほどの記憶を呼び出す。]
 97: 2051| [47] [美夜子]
 98: 2054| [45] [「あ、『おりひめ』ね。よぅし、今度こそ覚えたわ」]
 99: 2076| [47] [悠里]
100: 2077| [45] [（この記憶を変えちゃおう……！）]
101: 2082| [45] [悠里がそう念じると――]
102: 2204| [47] [美夜子]
103: 2207| [45] [「あ、『おりひめ』ね。よぅし、今度こそ覚えたわ」]
104: 2296| [47] [美夜子]
105: 2299| [45] [「あ、『――――』ね。よーし、今度こそ覚えたわ」]
106: 2388| [47] [美夜子]
107: 2391| [45] [「あ、『ひこぼし』ね。よーし、今度こそ覚えたわ」]
108: 2435| [45] [記憶の中の情景が歪み、別の記憶に置き換わった。]
109: 2618| [45] [悠里が現実に戻ると、博士がきょとんとしていた。]
110: 2644| [47] [美夜子]
111: 2647| [45] [「……あら、もしかしてもう終った？」]
112: 2655| [47] [悠里]
113: 2658| [45] [「はい、それじゃしつもんです。さっきわたしはあのかみに、なんてかいたでしょう？」]
114: 2684| [47] [美夜子]
115: 2687| [45] [「『ひこぼし』でしょ？」]
116: 2692| [45] [当然のように答える博士。]
117: 2697| [45] [しかし悠里はにっこり笑い、さきほどの紙を博士に見せる。]
118: 2705| [47] [悠里]
119: 2708| [45] [「ぶぶー、こたえは『おりひめ』ですー」]
120: 2734| [47] [美夜子]
121: 2737| [45] [「あ……ホントだわ！」]
122: 2742| [45] [博士はまじまじと、『おりひめ』と書かれた紙を見た。]
123: 2768| [47] [美夜子]
124: 2771| [45] [「実際に体験すると、なんだか不思議ね」]
125: 2779| [47] [悠里]
126: 2782| [45] [「でしょうね～」]
