  0:   61| [45] [――それは今から、ほんの２ヶ月ほど前の記憶だった。]
  1:   90| [45] [その日、悠里は博士と、ラボ内の私室で話していた。]
  2:  116| [47] [美夜子]
  3:  119| [45] [「――今年も、７月７日が来たわね」]
  4:  127| [47] [悠里]
  5:  130| [45] [「早いですね、もう９年ですか」]
  6:  135| [45] [その歳月は、悠里を肉体的にも精神的にも、大きく成長させていた。]
  7:  140| [45] [被験体としても、ラボが開発する品々――とりわけＡＤの開発やＢＣ絶縁体の改良などに、悠里は大きく貢献している。]
  8:  145| [45] [思い煩う事の何一つない、平穏そのものの日々だった。]
  9:  171| [47] [美夜子]
 10:  174| [45] [「……悠里ちゃん、どうだった？　この９年間……」]
 11:  182| [47] [悠里]
 12:  185| [45] [「え？　楽しかったですよ？」]
 13:  193| [47] [悠里]
 14:  196| [45] [「欲しいものはなんでも買ってもらえるし、いいお部屋にも住まわせてもらってるし……」]
 15:  264| [45] [――ただ１つ、外に出られないという事を除けば。]
 16:  269| [45] [だがそれについてはもう、考えないようにしていた。]
 17:  288| [47] [悠里]
 18:  291| [45] [「……それに博士、すっごく優しいし。なんだかんだで幸せです」]
 19:  299| [47] [悠里]
 20:  302| [45] [「あの……本当の、お母さんみたいで」]
 21:  329| [47] [美夜子]
 22:  332| [45] [「……悠里ちゃん」]
 23:  337| [45] [博士が悠里の肩を抱く。]
 24:  342| [45] [悠里の言う通り、博士は愛情を惜しみなく注いでくれていた。]
 25:  347| [45] [彼女の愛情の源が、悠里に対する罪悪感である事は、間違いないだろう。]
 26:  352| [45] [だがそれでも２人は、実の母娘のような間柄であり、互いに最大の理解者でもあった。]
 27:  378| [47] [美夜子]
 28:  381| [45] [「……でもやっぱり、この日が来ると考えてしまうわね」]
 29:  389| [47] [悠里]
 30:  392| [45] [「……ひこりんの事ですね」]
 31:  397| [45] [そう――この日が来れば、否が応にも強く意識してしまう。]
 32:  402| [45] [あの記憶操作を行った夜から、夏彦が自分の幻覚を見るようになった事を。]
 33:  469| [45] [――９年前、悠里は夏彦に対し、『自分が生きて、いつもそばにいる』という記憶を捏造した。]
 34:  519| [45] [その一方で、あの事故に関する詳細な記憶や、彼がＢＣ能力に目覚めた時の記憶は、消したままにしておいた。]
 35:  524| [45] [極めて都合のいい記憶操作――それが彼の精神に、傷を残したのだ。]
 36:  592| [47] [美夜子]
 37:  595| [45] [「……人間の人格は、記憶の集積から成り立つ。魂とは、脳内に蓄えられた情報の集合体……」]
 38:  603| [47] [美夜子]
 39:  606| [45] [「そこに捏造された記憶が加わる事で、現実との決定的な齟齬が生まれた」]
 40:  632| [47] [美夜子]
 41:  635| [45] [「だから夏彦の脳は、悠里ちゃんの幻覚を作り上げる事で、精神のバランスを保ったのね……」]
