  0:   67| [45] [――２０３０年９月１６日。]
  1:   72| [45] [夏彦がラボに来た事を知った悠里は、彼の記憶操作を開始した。]
  2:   77| [45] [真実を受け入れられるように。]
  3:   82| [45] [そうして徐々に心の準備ができるように、彼を導くのだ。]
  4:  153| [45] [やらなければならない事は、無数にある。]
  5:  158| [45] [まず夏彦に、自身の成長を自覚させる事。]
  6:  163| [45] [そして周囲の人々との絆を、より強く感じさせる事だ。]
  7:  168| [47] [悠里]
  8:  169| [45] [（ひこりんの心は、９年前で時間が止まってしまっている）]
  9:  174| [47] [悠里]
 10:  175| [45] [（それを動かしてあげなきゃ……）]
 11:  222| [45] [夏彦の記憶は、彼自身の脳の作用により、少々歪められているようだった。]
 12:  227| [45] [悠里から見ても明らかに、ましろやサリュに対する印象が、実際よりも悪くなっているのだ。]
 13:  232| [45] [恐らく長年他人に対し、心を閉ざしてきた結果だろう。]
 14:  237| [45] [しかしこのままでは、来るべき真実に耐えられそうにない。]
 15:  397| [45] [そこで悠里は、夏彦の支えになるましろや――]
 16:  452| [45] [サリュに対する印象を、より好意的な形に修復する。]
 17:  457| [45] [事実と反しないように、慎重に注意しながら。]
 18:  523| [45] [その一方で、真実のヒントを少しずつ与える。]
 19:  528| [45] [偽りの平穏は終わり、幻との別れの時が近づいている事を示唆する。]
 20:  533| [45] [初めは戸惑っていた夏彦も、やがて過去と向き合う強さを得ていった。]
 21:  644| [45] [――そうして彼は、幾多の危機を乗り越え、]
 22:  697| [45] [このラボの中でも、]
 23:  852| [45] [ましろやサリュと、共に手を取り合って、前に進んでいた。]
 24:  910| [47] [自動放送]
 25:  913| [45] [「――ただいま、『ケースＮ』が発生しました」]
 26:  918| [47] [自動放送]
 27:  921| [45] [「緊急事態につき、セキュリティを『封鎖モード』に移行」]
 28:  926| [47] [自動放送]
 29:  929| [45] [「施設内の全ゲートを閉鎖・ロックすると共に、隔壁を封鎖します」]
 30:  940| [45] [第５エリアでケースＮの発令に遭遇しても、彼は絶望しなかった。]
 31:  985| [45] [そんな夏彦を見て、悠里も思う。]
 32:  990| [47] [悠里]
 33:  991| [45] [（これならひこりんも……真実を受け入れてくれるかもしれない）]
 34:  996| [45] [いつの間にか、夏彦の頭痛は止んでいた。]
 35: 1001| [45] [心の準備が終りつつあるのだ。]
 36: 1060| [47] [悠里]
 37: 1061| [45] [（あとは、最後の仕上げをしなきゃ）]
 38: 1066| [45] [それは９年間、ましろが夏彦を支えてきたという事実を教える事だ。]
 39: 1071| [45] [そうすれば夏彦はましろに感謝し、悠里の死を知っても、耐えられるだろう。]
 40: 1180| [45] [――問題は閉鎖されてしまったゲートをどうやって開けるかだが、階段室に博士のセキュリティカードが落ちているのを見かけていた。]
 41: 1185| [45] [夏彦が気付かなかったので、悠里がそれを教えてあげようとしたが――]
 42: 1237| [45] [その直後、不測の事態が発生した。]
 43: 1286| [45] [彼が天川美夜子研究室に行き、見つけてしまったのだ。]
 44: 1291| [45] [９年前の事故について記された、新聞記事のファイルを。]
 45: 1299| [47] [夏彦]
 46: 1302| [45] [「え……え……！？」]
 47: 1325| [45] [夏彦の体が震え出す。呆然と悠里の方を見る。]
 48: 1348| [47] [悠里]
 49: 1349| [45] [（あ……いけない！　まだちょっとだけ早かった！？）]
 50: 1374| [47] [悠里]
 51: 1375| [45] [（でもこうなったら、ひこりんの心の強さに、賭けるしかない……！）]
 52: 1380| [45] [悠里は覚悟を決め、夏彦にテレパシーを送った。]
 53: 1640| [47] [悠里]
 54: 1643| [45] [「『わたしは一緒には行けない』って言った意味、わかったでしょう……？」]
 55: 1648| [45] [それは長い夢の終わりを告げる、決定的な一言だった。]
 56: 1656| [47] [夏彦]
 57: 1659| [45] [「……そんな……」]
 58: 1664| [45] [悠里にも夏彦の内心が伝わってきた。]
 59: 1669| [45] [混乱、悲哀、動揺、恐怖――そして絶望。]
 60: 1674| [45] [それでも悠里は、夏彦に言う。]
 61: 1722| [47] [悠里]
 62: 1725| [45] [「……ひこりん、お別れの時が来たよ」]
 63: 1730| [47] [夏彦]
 64: 1731| [45] [「――」]
 65: 1739| [47] [悠里]
 66: 1742| [45] [「……ずっと騙してて、ごめんね」]
 67: 1750| [47] [悠里]
 68: 1753| [45] [「ひこりんを支えてあげようと、思っていたんだよ……」]
 69: 1761| [47] [悠里]
