  0:   53| [45] [――それは、悠里が鹿鳴市に引っ越してきた最初の夏。]
  1:  103| [45] [小学２年生になった悠里には、心待ちにしているものがあった。]
  2:  108| [45] [それは、夏休み。]
  3:  113| [45] [夏彦やましろたちといっぱい遊べると思い、悠里はずっと楽しみにしていたのだ。]
  4:  118| [45] [そして、その日がついに来た。]
  5:  147| [45] [夏休みの初日――悠里は、公園に向かっていた。]
  6:  155| [47] [悠里]
  7:  158| [45] [「夏彦くんとましろちゃん、いるかな？」]
  8:  166| [47] [悠里]
  9:  169| [45] [「……いなかったらどうしよう。ご本でもよもうかな……」]
 10:  174| [45] [そんな不安が心をよぎる。]
 11:  265| [45] [しかし、ちゃんと夏彦とましろは公園で遊んでいた。]
 12:  273| [47] [悠里]
 13:  276| [45] [「夏彦くん、ましろちゃん、こんにちは」]
 14:  302| [47] [夏彦]
 15:  305| [45] [「あ、悠里だ」]
 16:  331| [47] [ましろ]
 17:  334| [45] [「あれ？　しょうがっこーにいかなくていいの？」]
 18:  342| [47] [悠里]
 19:  345| [45] [「うん、もう夏やすみに入ったの。きょうからまいにち、３人であそぼうね」]
 20:  371| [47] [夏彦]
 21:  374| [45] [「そっか！　よし、それなら夏やすみのけいかくをたてようぜ！」]
 22:  382| [47] [夏彦]
 23:  385| [45] [「よていをたてないと、夏なんてあっというまにおわっちゃうからな」]
 24:  393| [47] [悠里]
 25:  396| [45] [「あ、それいいね」]
 26:  404| [47] [悠里]
 27:  407| [45] [「夏彦くん、何かいいアイディアとかある？」]
 28:  433| [47] [夏彦]
 29:  436| [45] [「う～ん、そうだなぁ……」]
 30:  441| [45] [夏彦が腕を組み、やがてカッと目を見開く。]
 31:  467| [47] [夏彦]
 32:  470| [45] [「これだ！　鹿鳴市さいきょーベーゴマつかいけっていせん！」]
 33:  478| [47] [悠里]
 34:  481| [45] [「べーごま？」]
 35:  507| [47] [ましろ]
 36:  510| [45] [「むぅ！　それはまさか、よにいう『貝独楽』！」]
 37:  536| [47] [夏彦]
 38:  539| [45] [「なにぃ！？　し、しってるのか、ましろ！？」]
 39:  565| [47] [ましろ]
 40:  568| [45] [「しってるよ、ふつうにベーゴマでしょ」]
 41:  594| [47] [夏彦]
 42:  597| [45] [「ぬぅ……」]
 43:  605| [47] [悠里]
 44:  608| [45] [「ねぇねぇ、夏彦くん。けっていせんってどういうこと？」]
 45:  634| [47] [夏彦]
 46:  637| [45] [「このまちでいちばんベーゴマがつよいやつをきめる、いちだいイベントさ」]
 47:  663| [47] [夏彦]
 48:  666| [45] [「どうだ、すごいだろ！？」]
 49:  674| [47] [悠里]
 50:  677| [45] [「うん！　夏彦くん、すごい！」]
 51:  682| [45] [悠里はぱちぱちと拍手を送る。]
 52:  687| [45] [しかし、ましろは嘲るような笑みを浮かべた。]
 53:  713| [47] [ましろ]
 54:  716| [45] [「ふ～ん。夏彦のアイディアも、いがいとたいしたことないね」]
 55:  742| [47] [夏彦]
 56:  745| [45] [「なんだと！？　じゃあもっといいあんだしてみろよ」]
 57:  771| [47] [ましろ]
