  0:   81| [45] [――それは、昨日の夜の事。]
  1:   86| [45] [悠里はその『翌日』、つまり９月１６日の予定について、天川博士と話していた。]
  2:  118| [47] [悠里]
  3:  121| [45] [「博士、明日の予定なんですけど……」]
  4:  129| [47] [美夜子]
  5:  132| [45] [「なぁに？」]
  6:  140| [47] [悠里]
  7:  143| [45] [「明日、『６時半～１８時半まで、Ｎエリアで実験』って、何をやるんですか？」]
  8:  169| [47] [美夜子]
  9:  172| [45] [「それはね、元はと言えば、私が昔からずっとやりたかった実験なんだけど……」]
 10:  180| [47] [美夜子]
 11:  183| [45] [「急遽、今やる必要が出てきたので、悠里ちゃんに手伝ってほしいのよ」]
 12:  191| [47] [悠里]
 13:  194| [45] [「今やる必要？」]
 14:  220| [47] [美夜子]
 15:  223| [45] [「優衣がラボを出て、被験体の数が減ってしまったじゃない？」]
 16:  231| [47] [美夜子]
 17:  234| [45] [「それでも高度な実験が行えるという事を、ラボの上層部に証明しなければならないの」]
 18:  242| [47] [悠里]
 19:  245| [45] [「わかりました、もちろんお手伝いします」]
 20:  253| [47] [悠里]
 21:  256| [45] [「でも、どんな実験なんでしょう？」]
 22:  282| [47] [美夜子]
 23:  285| [45] [「そうね、わかりやすく言うと――」]
 24:  311| [47] [美夜子]
 25:  314| [45] [「『意識を作る実験』かしら」]
 26:  322| [47] [悠里]
 27:  325| [45] [「……？」]
 28:  330| [45] [きょとんとする悠里に、博士は真顔で言った。]
 29:  338| [47] [美夜子]
 30:  341| [45] [「悠里ちゃん、知ってる？　意識の発生過程ってね、現代の科学ではまだよくわかっていないのよ」]
 31:  349| [47] [悠里]
 32:  352| [45] [「そうなんですか？」]
 33:  378| [47] [美夜子]
 34:  381| [45] [「論理的にみて脳のどこかに、意識が生じているように見えるでしょう」]
 35:  389| [47] [美夜子]
 36:  392| [45] [「でも脳をどんなに細かく分解していっても意識が生まれるメカニズムはわからない」]
 37:  400| [47] [美夜子]
 38:  403| [45] [「ただのタンパク質の塊に、なぜ『意識』が生じるのか……？　意識の在り処はどこなのか？」]
 39:  411| [47] [悠里]
 40:  414| [45] [「それを探る実験なんですか？」]
 41:  440| [47] [美夜子]
 42:  443| [45] [「違うの。私なりに見つけたその答えを、検証するための実験よ」]
 43:  448| [45] [博士はそう言って、不敵に笑う。]
 44:  474| [47] [美夜子]
 45:  477| [45] [「さて悠里ちゃん、意識の発生過程を探る前に、知っておかなければならない事があるわよね」]
