  0:   53| [45] [--July 7.]
  1:   58| [45] [The anniversary of Yuuri's death.]
  2:   63| [45] [It was decided that Yuuri had died on that day in 2021.]
  3:   68| [45] [... And every year when July 7th rolled in, there was a girl who was born, a girl who disappeared.]
  4:   99| [45] [That girl being the other "Yuuri".]
  5:  104| [45] [The phantom that Natsuhiko perceived ever since that day--]
  6:  127| [45] [She was born out of sight, and vanished out of sight in the same way.]
  7:  165| [45] [July 7 had become both her birthday, and the anniversary of her death.]
  8:  241| [45] [That day came along again this year.]
  9:  246| [45] [Dr. Tenkawa led Yuuri to the neuroscience laboratory.]
 10:  272| [47] [Miyoko]
 11:  275| [45] ["--It's time for your yearly date, huh, Yuuri."]
 12:  283| [47] [Yuuri]
 13:  286| [45] ["Date...? Professor, you call it that every year, but..."]
 14:  294| [47] [Yuuri]
 15:  297| [45] ["All I'm doing is updating Hikorin's memories, aren't I?"]
 16:  323| [47] [Miyoko]
 17:  326| [45] ["I'm just joking. Okay, I'll step out for a little bit. Call me if anything happens."]
 18:  334| [47] [Yuuri]
 19:  337| [45] ["Yes, thank you."]
 20:  357| [45] [The professor nodded and left the room.]
 21:  362| [45] [Yuuri then looked at Natsuhiko.]
 22:  424| [47] [Yuuri]
 23:  427| [45] ["It's been a whole year, hasn't it, Hikorin?"]
 24:  432| [45] [There was Natsuhiko, put to sleep by drugs.]
 25:  437| [45] [--Once each year, Yuuri would meet him again like this.]
 26:  442| [45] [But he wasn't the only one she'd meet.]
 27:  447| [45] [She'd see the Mashiro in his memories--]
 28:  452| [45] [As well as her own other self.]
 29:  467| [47] [Yuuri]
 30:  470| [45] ["How was your year...?"]
 31:  534| [45] [Yuuri muttered that and dove into his mind.]
 32:  707| [45] [--The first thing to float up was the uneventful memory of a normal day.]
 33:  712| [45] [That night, Natsuhiko had his usual book chat with the "phantom" over a cup of milk.]
 34:  742| [47] [Natsuhiko]
 35:  745| [45] ["--What kind of book did you read today?"]
 36:  771| [47] [Yuuri]
 37:  774| [45] ["Umm, today, I read a mysterious novel."]
 38:  800| [47] [Yuuri]
 39:  803| [45] ["It was the story of someone who made their own world in their mind, and someone who dived into their mind and invaded that world."]
 40:  811| [47] [Natsuhiko]
