  0:    1| [55] [Tutorial]
  1:   50| [45] [初めにお断りしておきますが、この世界にはいわゆる『選択肢』が存在しません。]
  2:   55| [45] [しかしこの世界を未来へ繋げるためには、あなたの力が必要です。]
  3:   60| [45] [そこであなたの意思をこの世界に反映できるように、Senses Sympathy System（センシズ・シンパシィ・システム）を用意しました。]
  4:   65| [45] [これからSenses Sympathy Systemの解説を行いますが――]
  5:   70| [45] [その前に『センシズ』について説明させていただきます。]
  6:   75| [45] [センシズとは『印象、感情、感覚』のこと。簡単に言うと、あなたが他者を『どう思っているか』という評価です。]
  7:   80| [45] [つまりセンシズが高ければ、あなたはその人物に『好い印象』を抱いており――]
  8:   85| [45] [逆にセンシズが低ければ、その人物に『悪い印象』を抱いている事になります。]
  9:   90| [45] [そしてSenses Sympathy Systemとは、そうしたあなたのセンシズを数値化し、この世界に反映させるために存在します。]
 10:   95| [45] [さて、そのセンシズの数値をどのように操作するのかについてご説明します。]
 11:  139| [45] [特定の場面になると、画面の右上に魔方陣のような図形が表示されます。これは『エニアグラム』という図形です。]
 12:  144| [45] [エニアグラムとは人間の性格を９種類に分類する性格診断の一種。]
 13:  149| [45] [本作の主要人物の９名は、その９種類の性格のどれかに分類されています。]
 14:  193| [45] [このように、エニアグラムの各点に９名が割り当てられるわけです。]
 15:  198| [45] [エニアグラムの上には、レーダーチャートのようなグラフが表示されています。]
 16:  203| [45] [このグラフがセンシズを示すシンボルです。]
 17:  247| [45] [グラフの形は９名のセンシズと対応していて、センシズを上げ下げすることでグラフの形が変化します。]
 18:  252| [45] [センシズは主人公含めて９人分入力できますから、センシズの評価対象には自分自身も含まれます。]
 19:  257| [45] [この場合、自分の直感や意見に自信を持つか持たないか……]
 20:  262| [45] [あるいは、自分自身をどれだけ大切にするか、という扱いになります。]
 21:  267| [45] [Senses Sympathy System（感覚同調システム）。]
 22:  272| [45] [まさに主人公の様々な感覚＝センシズを、その都度、あなたに決めてもらうシステムです。]
 23:  277| [45] [決めてもらったセンシズは、所定の『分岐ポイント』でシナリオ分岐の判定に使われます。]
 24:  282| [45] [分岐ポイントでは、センシズの大きさによって、シナリオが何パターンかに自動で分岐するということです。]
 25:  326| [45] [センシズはいつも入力できるわけではありません。]
 26:  331| [45] [『ブランチ』と呼ばれる区間内だけ、センシズの入力ができます。]
 27:  336| [45] [ブランチに入ると、画面の右上にエニアグラムが表示されます。]
 28:  341| [45] [エニアグラムが表示されているかどうかで、センシズが入力できるかどうか判断してください。]
 29:  346| [45] [詳しくは、実際に操作してもらいながらご説明します。]
 30:  389| [45] [それでは実際に操作しながら、シナリオの分岐を体験してみましょう。]
 31:  394| [45] [まずは次の場面をご覧ください。まだセンシズの入力はできませんので、普通にメッセージを読み進めてください。]
 32:  533| [45] [そこは、とある少年の家――。]
 33:  538| [45] [綺麗に清掃されたリビングに、テレビと家庭用ゲーム機が置かれている。]
 34:  543| [45] [すると少女が廊下から現れ、不思議そうに尋ねてきた。]
 35:  551| [47] [少女]
 36:  554| [45] [「ねえねえ、なにしているの？」]
 37:  562| [47] [少女]
 38:  565| [45] [「……え？　ゲームのれんしゅう？」]
 39:  573| [47] [少女]
 40:  576| [45] [「とてもたいせつなことなの……？」]
 41:  584| [47] [少女]
 42:  587| [45] [「そっかぁ、じゃあいそがしいんだね……」]
 43:  595| [47] [少女]
 44:  598| [45] [「あのね、ちょっとお話ししたいことがあるんだけど……いまは、だめだよね？」]
 45:  603| [45] [そう言いつつも、少女は期待のこもった眼差しで、あなたを見つめている。]
 46:  611| [47] [少女]
 47:  614| [45] [「あっ……ごめんなさい。じゃまみたいだから、またこんどにするね」]
 48:  622| [47] [少女]
 49:  625| [45] [「――ううん、きにしないで。そんな、たいしたことじゃなかったから」]
 50:  633| [47] [少女]
 51:  636| [45] [「それじゃ、ゲームのれんしゅうがんばってね……」]
 52:  641| [45] [少女はがっくりと肩を落とし――]
 53:  646| [45] [――さびしそうに、リビングから去って行った。]
 54:  749| [45] [今のは少女に対するセンシズが低かった場合の例になります。]
 55:  754| [45] [では、もう１度同じ場面を繰り返しますので、今度は少女を『喜ばせて』あげましょう。]
